seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
3,beta,1,4,1.0,1.0,raw,4,1.0,0.0
6,beta,1,4,1.0,1.0,raw,4,1.0,0.0
26,beta,1,4,1.0,1.0,raw,4,1.0,0.0
10,beta,1,4,1.0,1.0,raw,4,1.0,0.0
30,beta,1,4,1.0,1.0,raw,4,1.0,0.0
39,beta,1,4,1.0,1.0,raw,4,1.0,0.0
18,beta,1,4,1.0,1.0,raw,4,1.0,0.0
23,beta,1,4,1.0,1.0,raw,4,1.0,0.0
34,beta,1,4,1.0,1.0,raw,4,1.0,0.0
27,beta,1,4,1.0,1.0,raw,4,1.0,0.0
35,beta,1,4,1.0,1.0,raw,4,1.0,0.0
44,beta,1,4,1.0,1.0,raw,4,1.0,0.0
42,beta,1,4,1.0,1.0,raw,4,1.0,0.0
14,beta,1,4,1.0,1.0,raw,4,1.0,0.0
2,beta,1,4,1.0,1.0,raw,4,1.0,0.0
47,beta,1,4,1.0,1.0,raw,4,1.0,0.0
46,beta,1,4,1.0,1.0,raw,4,1.0,0.0
22,beta,1,4,1.0,1.0,raw,4,1.0,0.0
43,beta,1,4,1.0,1.0,raw,4,1.0000000000000002,0.0
19,beta,1,4,1.0,1.0,raw,4,1.0,0.0
15,beta,1,4,1.0,1.0,raw,4,1.0,0.0
1,beta,1,4,1.0,1.0,raw,4,1.0,0.0
38,beta,1,4,1.0,1.0,raw,4,1.0,0.0
11,beta,1,4,1.0,1.0,raw,4,1.0,0.0
7,beta,1,4,1.0,1.0,raw,4,1.0,0.0
31,beta,1,4,1.0,1.0,raw,4,1.0,0.0
8,beta,1,4,1.0,1.0,raw,4,1.0,0.0
37,beta,1,4,1.0,1.0,raw,4,1.0,0.0
17,beta,1,4,1.0,1.0,raw,4,1.0,0.0
29,beta,1,4,1.0,1.0,raw,4,1.0,0.0
49,beta,1,4,1.0,1.0,raw,4,1.0,0.0
4,beta,1,4,1.0,1.0,raw,4,1.0,0.0
33,beta,1,4,1.0,1.0,raw,4,1.0,0.0
28,beta,1,4,1.0,1.0,raw,4,1.0,0.0
24,beta,1,4,1.0,1.0,raw,4,1.0,0.0
5,beta,1,4,1.0,1.0,raw,4,1.0,0.0
13,beta,1,4,1.0,1.0,raw,4,1.0,0.0
20,beta,1,4,1.0,1.0,raw,4,1.0,0.0
0,beta,1,4,1.0,1.0,raw,4,1.0,0.0
36,beta,1,4,1.0,1.0,raw,4,1.0,0.0
41,beta,1,4,1.0,1.0,raw,4,1.0,0.0
25,beta,1,4,1.0,1.0,raw,4,1.0,0.0
9,beta,1,4,1.0,1.0,raw,4,1.0,0.0
40,beta,1,4,1.0,1.0,raw,4,1.0,0.0
21,beta,1,4,1.0,1.0,raw,4,1.0,0.0
48,beta,1,4,1.0,1.0,raw,4,1.0,0.0
12,beta,1,4,1.0,1.0,raw,4,1.0,0.0
45,beta,1,4,1.0,1.0,raw,4,1.0,0.0
32,beta,1,4,1.0,1.0,raw,4,1.0,0.0
16,beta,1,4,1.0,1.0,raw,4,1.0,0.0
