seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
3,beta,1,4,1.0,1.0,raw,4,1.0,2.981743299101144e-05
6,beta,1,4,1.0,1.0,raw,4,1.0,8.31286865011659e-06
26,beta,1,4,1.0,1.0,raw,4,1.0,1.6652687671701307e-05
10,beta,1,4,1.0,1.0,raw,4,1.0,2.3868624230192977e-05
30,beta,1,4,1.0,1.0,raw,4,1.0,5.6737693139558346e-05
39,beta,1,4,1.0,1.0,raw,4,1.0,4.957476138949676e-05
18,beta,1,4,1.0,1.0,raw,4,1.0,1.7776350691812186e-05
23,beta,1,4,1.0,1.0,raw,4,1.0,6.254917500196514e-05
34,beta,1,4,1.0,1.0,raw,4,1.0,0.0001229703843833
27,beta,1,4,1.0,1.0,raw,4,1.0,2.5231155506505675e-05
35,beta,1,4,1.0,1.0,raw,4,1.0,0.0001778673109556
44,beta,1,4,1.0,1.0,raw,4,1.0,1.3698411648302268e-05
42,beta,1,4,1.0,1.0,raw,4,1.0,6.140363713623332e-05
14,beta,1,4,1.0,1.0,raw,4,1.0,2.2716644299095745e-05
2,beta,1,4,1.0,1.0,raw,4,1.0,0.0140895196704818
47,beta,1,4,1.0,1.0,raw,4,1.0,1.062185837047184e-05
46,beta,1,4,1.0,1.0,raw,4,1.0,1.1099219089781554e-05
22,beta,1,4,1.0,1.0,raw,4,1.0,0.0172863148648488
43,beta,1,4,1.0,1.0,raw,4,1.0,1.1440918433050004e-05
19,beta,1,4,1.0,1.0,raw,4,1.0,7.945773948192636e-05
15,beta,1,4,1.0,1.0,raw,4,1.0,3.977843001493924e-05
1,beta,1,4,1.0,1.0,raw,4,1.0,1.1417058181986124e-05
38,beta,1,4,1.0,1.0,raw,4,1.0,3.8057995976645854e-05
11,beta,1,4,1.0,1.0,raw,4,1.0,0.0352595421203906
7,beta,1,4,1.0,1.0,raw,4,1.0,2.127333866530088e-05
31,beta,1,4,1.0,1.0,raw,4,1.0,2.4466391903360312e-05
8,beta,1,4,1.0,1.0,raw,4,1.0,1.3083334617099042e-05
37,beta,1,4,1.0,1.0,raw,4,1.0,7.32106769962268e-06
17,beta,1,4,1.0,1.0,raw,4,1.0,1.2376568798790293e-05
29,beta,1,4,1.0,1.0,raw,4,1.0,7.218689405537507e-05
49,beta,1,4,1.0,1.0,raw,4,1.0,3.609465326776372e-06
4,beta,1,4,1.0,1.0,raw,4,1.0,3.113367544602724e-05
33,beta,1,4,1.0,1.0,raw,4,1.0,2.085744494457297e-05
28,beta,1,4,1.0,1.0,raw,4,1.0,1.6538632598309507e-05
24,beta,1,4,1.0,1.0,raw,4,1.0,1.7339007428882207e-05
5,beta,1,4,1.0,1.0,raw,4,1.0,2.364343232975153e-05
13,beta,1,4,1.0,1.0,raw,4,1.0,2.410457198266376e-05
20,beta,1,4,1.0,1.0,raw,4,1.0,6.202389926973863e-05
0,beta,1,4,1.0,1.0,raw,4,1.0,0.0277116970325035
36,beta,1,4,1.0,1.0,raw,4,1.0,1.203979187524864e-05
41,beta,1,4,1.0,1.0,raw,4,1.0,7.547064061840562e-05
25,beta,1,4,1.0,1.0,raw,4,1.0,3.1779866165455815e-05
9,beta,1,4,1.0,1.0,raw,4,1.0,7.314689073713076e-05
40,beta,1,4,1.0,1.0,raw,4,1.0,5.6632168451989685e-05
21,beta,1,4,1.0,1.0,raw,4,1.0,1.4621500089558276e-05
48,beta,1,4,1.0,1.0,raw,4,1.0,4.910055846012214e-05
12,beta,1,4,1.0,1.0,raw,4,1.0,4.720668816392565e-05
45,beta,1,4,1.0,1.0,raw,4,1.0,2.256126474622366e-05
32,beta,1,4,1.0,1.0,raw,4,1.0,3.219783210401746e-05
16,beta,1,4,1.0,1.0,raw,4,1.0,0.0002800617078075564
