seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,64,1.0,1.0,raw,64,0.9361415974699,0.2650486218408888,26,2,30,2
18,beta,1,64,1.0,1.0,raw,64,0.9450733598199036,0.261474609375,30,2,30,2
4,beta,1,64,1.0,1.0,raw,64,0.8867550992176332,0.3364897447081876,8,2,30,2
39,beta,1,64,1.0,1.0,raw,64,0.9252075957318988,0.2808558961231038,26,2,30,2
11,beta,1,64,1.0,1.0,raw,64,0.9152189702800534,0.2949959870243295,30,2,30,2
20,beta,1,64,1.0,1.0,raw,64,0.8749757116486934,0.3193012417017958,21,2,30,2
49,beta,1,64,1.0,1.0,raw,64,0.8754794174027604,0.3415508365646547,8,2,30,2
40,beta,1,64,1.0,1.0,raw,64,0.9000985283168599,0.3112451272797538,12,2,30,2
3,beta,1,64,1.0,1.0,raw,64,0.9014835719264144,0.3109211136223772,5,2,30,2
30,beta,1,64,1.0,1.0,raw,64,0.9225048756782502,0.2913255513313594,17,2,30,2
35,beta,1,64,1.0,1.0,raw,64,0.8898809523809523,0.315033667010312,29,2,30,2
27,beta,1,64,1.0,1.0,raw,64,0.8784252665960819,0.3482953209171721,3,2,30,2
42,beta,1,64,1.0,1.0,raw,64,0.9218050945302352,0.2823064750339262,28,2,30,2
15,beta,1,64,1.0,1.0,raw,64,0.8929106665321526,0.3170244041895722,15,2,30,2
7,beta,1,64,1.0,1.0,raw,64,0.9029744417782364,0.3043530413561364,28,2,30,2
47,beta,1,64,1.0,1.0,raw,64,0.9118431960390192,0.2971561506004219,25,2,30,2
2,beta,1,64,1.0,1.0,raw,64,0.8647713433199367,0.3471330177107859,8,2,30,2
23,beta,1,64,1.0,1.0,raw,64,0.8937419848959818,0.3142626760235654,22,2,30,2
31,beta,1,64,1.0,1.0,raw,64,0.9012825647812762,0.3189987712473209,14,2,30,2
19,beta,1,64,1.0,1.0,raw,64,0.9153732722334738,0.2914704602349724,29,2,30,2
43,beta,1,64,1.0,1.0,raw,64,0.9195240904915192,0.2927330976691984,29,2,30,2
34,beta,1,64,1.0,1.0,raw,64,0.93956644516346,0.25818544924625,30,2,30,2
14,beta,1,64,1.0,1.0,raw,64,0.8757158757158756,0.3313884908943863,23,2,30,2
46,beta,1,64,1.0,1.0,raw,64,0.8969035834771832,0.3286655718845301,17,2,30,2
10,beta,1,64,1.0,1.0,raw,64,0.8963673593204914,0.3104659880854603,30,2,30,2
6,beta,1,64,1.0,1.0,raw,64,0.8987855633133846,0.3202702331568776,24,2,30,2
26,beta,1,64,1.0,1.0,raw,64,0.8972730337278001,0.3045226898477777,22,2,30,2
22,beta,1,64,1.0,1.0,raw,64,0.9278388151032612,0.2693611382194877,27,2,30,2
38,beta,1,64,1.0,1.0,raw,64,0.91724148365573,0.2792247198840333,22,2,30,2
12,beta,1,64,1.0,1.0,raw,64,0.880869012891007,0.3193782230110058,19,2,30,2
8,beta,1,64,1.0,1.0,raw,64,0.9040301766924758,0.3040478423095509,6,2,30,2
28,beta,1,64,1.0,1.0,raw,64,0.909953163683108,0.30201675514453,17,2,30,2
24,beta,1,64,1.0,1.0,raw,64,0.9045533932135728,0.2927805486811759,28,2,30,2
25,beta,1,64,1.0,1.0,raw,64,0.8827497417626012,0.3216464828650856,6,2,30,2
36,beta,1,64,1.0,1.0,raw,64,0.91044172559105,0.3099818938297483,28,2,30,2
44,beta,1,64,1.0,1.0,raw,64,0.911874327332773,0.3027374144370796,24,2,30,2
16,beta,1,64,1.0,1.0,raw,64,0.9419938019717632,0.2397017505915434,29,2,30,2
48,beta,1,64,1.0,1.0,raw,64,0.8960511399420582,0.3069381849459566,29,2,30,2
32,beta,1,64,1.0,1.0,raw,64,0.9173072722012624,0.2971400407948979,19,2,30,2
13,beta,1,64,1.0,1.0,raw,64,0.9231038138141964,0.2706656563549925,29,2,30,2
37,beta,1,64,1.0,1.0,raw,64,0.919608784176847,0.295763797154417,16,2,30,2
1,beta,1,64,1.0,1.0,raw,64,0.9273802000074352,0.282334778837927,12,2,30,2
9,beta,1,64,1.0,1.0,raw,64,0.9134599108714376,0.3024654547615007,24,2,30,2
29,beta,1,64,1.0,1.0,raw,64,0.9188393386964716,0.2875049875697522,30,2,30,2
33,beta,1,64,1.0,1.0,raw,64,0.9244423713365488,0.2764658532752467,9,2,30,2
5,beta,1,64,1.0,1.0,raw,64,0.9268896045827448,0.2817982918809721,10,2,30,2
45,beta,1,64,1.0,1.0,raw,64,0.9169005667928218,0.2784432256904096,29,2,30,2
41,beta,1,64,1.0,1.0,raw,64,0.9331855415342822,0.2789960054287659,28,2,30,2
17,beta,1,64,1.0,1.0,raw,64,0.9292952160305534,0.2778788227173568,15,2,30,2
21,beta,1,64,1.0,1.0,raw,64,0.9164303911900067,0.2868445855683432,16,2,30,2
