seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,beta,1,4,1.0,1.0,raw,4,0.990138067061144,0.328937784074142,4,2,30,2
6,beta,1,4,1.0,1.0,raw,4,0.9846326836581708,0.1708488119825761,5,2,30,2
26,beta,1,4,1.0,1.0,raw,4,0.996687370600414,0.1326684170232892,7,2,30,2
10,beta,1,4,1.0,1.0,raw,4,0.5224489795918368,0.4568641715847382,30,2,30,2
30,beta,1,4,1.0,1.0,raw,4,0.9947209653092006,0.1515873384769278,18,2,30,2
39,beta,1,4,1.0,1.0,raw,4,0.9903703703703703,0.1493473215576074,19,2,30,2
18,beta,1,4,1.0,1.0,raw,4,0.9856060606060606,0.3045921420994888,14,2,30,2
23,beta,1,4,1.0,1.0,raw,4,0.9940029985007496,0.1576613048937789,17,2,30,2
34,beta,1,4,1.0,1.0,raw,4,0.987256371814093,0.4467527288941653,3,2,30,2
27,beta,1,4,1.0,1.0,raw,4,0.9813852813852814,0.1690047440705935,27,2,30,2
35,beta,1,4,1.0,1.0,raw,4,0.985007496251874,0.3814329669788673,11,2,30,2
44,beta,1,4,1.0,1.0,raw,4,0.9977125428898208,0.1489620289699792,15,2,30,2
42,beta,1,4,1.0,1.0,raw,4,0.9860446570972888,0.1752037522612549,25,2,30,2
14,beta,1,4,1.0,1.0,raw,4,0.9978529253891572,0.4287721073245451,22,2,30,2
2,beta,1,4,1.0,1.0,raw,4,0.9842209072978304,0.4507875167701971,7,2,30,2
47,beta,1,4,1.0,1.0,raw,4,0.5718157181571816,0.4706804420419175,2,2,30,2
46,beta,1,4,1.0,1.0,raw,4,0.9806896551724138,0.162130078751626,9,2,30,2
22,beta,1,4,1.0,1.0,raw,4,0.5911111111111111,0.4527756396521393,17,2,30,2
43,beta,1,4,1.0,1.0,raw,4,0.976241134751773,0.4017530938939126,5,2,30,2
19,beta,1,4,1.0,1.0,raw,4,0.9884972170686456,0.4118924044345645,28,2,30,2
15,beta,1,4,1.0,1.0,raw,4,0.4850260416666666,0.4647853558190418,12,2,30,2
1,beta,1,4,1.0,1.0,raw,4,0.9963045084996304,0.1571904905178832,23,2,30,2
38,beta,1,4,1.0,1.0,raw,4,0.9910371318822024,0.1395054264991435,4,2,30,2
11,beta,1,4,1.0,1.0,raw,4,0.9898459383753502,0.2800862820553411,24,2,30,2
7,beta,1,4,1.0,1.0,raw,4,0.9835526315789472,0.1375581247304654,25,2,30,2
31,beta,1,4,1.0,1.0,raw,4,0.9668318719024018,0.2090990072999638,11,2,30,2
8,beta,1,4,1.0,1.0,raw,4,0.5194444444444445,0.4652907202076685,11,2,30,2
37,beta,1,4,1.0,1.0,raw,4,0.9959304476507584,0.1498166438855685,8,2,30,2
17,beta,1,4,1.0,1.0,raw,4,0.9906994047619048,0.1953673953158465,27,2,30,2
29,beta,1,4,1.0,1.0,raw,4,0.9896411394746578,0.1984311504549638,30,2,30,2
49,beta,1,4,1.0,1.0,raw,4,0.4185267857142857,0.4538535148202089,26,2,30,2
4,beta,1,4,1.0,1.0,raw,4,0.9812593703148426,0.1890001091590949,28,2,30,2
33,beta,1,4,1.0,1.0,raw,4,0.993939393939394,0.4308007471032956,9,2,30,2
28,beta,1,4,1.0,1.0,raw,4,0.9937469937469938,0.1252212875367091,10,2,30,2
24,beta,1,4,1.0,1.0,raw,4,0.9878831076265148,0.385249322784195,7,2,30,2
5,beta,1,4,1.0,1.0,raw,4,0.9783473265576668,0.162781482604826,11,2,30,2
13,beta,1,4,1.0,1.0,raw,4,0.5180672268907563,0.4402376250965338,12,2,30,2
20,beta,1,4,1.0,1.0,raw,4,0.4531746031746032,0.4481493286487846,16,2,30,2
0,beta,1,4,1.0,1.0,raw,4,0.9756778309409888,0.2208092527185844,28,2,30,2
36,beta,1,4,1.0,1.0,raw,4,0.9888888888888888,0.155615501774635,21,2,30,2
41,beta,1,4,1.0,1.0,raw,4,0.981640625,0.3188924597300904,9,2,30,2
25,beta,1,4,1.0,1.0,raw,4,0.978125,0.2468161878066391,21,2,30,2
9,beta,1,4,1.0,1.0,raw,4,0.9851190476190476,0.4012719108564831,10,2,30,2
40,beta,1,4,1.0,1.0,raw,4,0.9985069055617768,0.1589483264760148,17,2,30,2
21,beta,1,4,1.0,1.0,raw,4,0.9881613022567518,0.1609571539812762,10,2,30,2
48,beta,1,4,1.0,1.0,raw,4,0.973828125,0.2094865452001079,30,2,30,2
12,beta,1,4,1.0,1.0,raw,4,0.980030721966206,0.2015042383432124,10,2,30,2
45,beta,1,4,1.0,1.0,raw,4,0.9673469387755104,0.3078150400550721,18,2,30,2
32,beta,1,4,1.0,1.0,raw,4,0.4058159722222222,0.4605123854803322,9,2,30,2
16,beta,1,4,1.0,1.0,raw,4,0.9850746268656717,0.16664163145645747,29,2,30,2
