seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
3,beta,1,4,1.0,1.0,raw,4,1.0,5.795004880068089e-05
6,beta,1,4,1.0,1.0,raw,4,1.0,6.493728753634016e-05
26,beta,1,4,1.0,1.0,raw,4,1.0,3.122796003451033e-05
10,beta,1,4,1.0,1.0,raw,4,1.0,0.0001581242868917
30,beta,1,4,1.0,1.0,raw,4,1.0,0.000150746073989
39,beta,1,4,1.0,1.0,raw,4,1.0,1.0343912687751008e-05
18,beta,1,4,1.0,1.0,raw,4,1.0,5.009794548973224e-05
23,beta,1,4,1.0,1.0,raw,4,1.0,6.594647567870055e-05
34,beta,1,4,1.0,1.0,raw,4,1.0,3.342227813570691e-05
27,beta,1,4,1.0,1.0,raw,4,1.0,1.4867005841092536e-05
35,beta,1,4,1.0,1.0,raw,4,1.0,1.2490352286577428e-05
44,beta,1,4,1.0,1.0,raw,4,1.0,3.8120787684149305e-05
42,beta,1,4,1.0,1.0,raw,4,1.0,7.421337795037473e-05
14,beta,1,4,1.0,1.0,raw,4,1.0,1.3681200007519562e-05
2,beta,1,4,1.0,1.0,raw,4,1.0,0.0001162386509713
47,beta,1,4,1.0,1.0,raw,4,1.0,3.713265173529011e-05
46,beta,1,4,1.0,1.0,raw,4,1.0,7.56557232275948e-06
22,beta,1,4,1.0,1.0,raw,4,1.0,1.2694421793386448e-05
43,beta,1,4,1.0,1.0,raw,4,1.0,3.6764163499748905e-05
19,beta,1,4,1.0,1.0,raw,4,1.0,1.586161240967562e-05
15,beta,1,4,1.0,1.0,raw,4,1.0,2.041619713386827e-05
1,beta,1,4,1.0,1.0,raw,4,1.0,2.089627469321574e-05
38,beta,1,4,1.0,1.0,raw,4,1.0,6.621297064394733e-05
11,beta,1,4,1.0,1.0,raw,4,1.0,4.207820784021249e-05
7,beta,1,4,1.0,1.0,raw,4,1.0,1.610689218632654e-05
31,beta,1,4,1.0,1.0,raw,4,1.0,4.320020362114608e-05
8,beta,1,4,1.0,1.0,raw,4,1.0,9.056771808356184e-05
37,beta,1,4,1.0,1.0,raw,4,1.0,1.630114161668832e-05
17,beta,1,4,1.0,1.0,raw,4,1.0,6.965083926404822e-05
29,beta,1,4,1.0,1.0,raw,4,1.0,1.1883022648574888e-05
49,beta,1,4,1.0,1.0,raw,4,1.0,1.26780473786306e-05
4,beta,1,4,1.0,1.0,raw,4,1.0,1.5763060446781794e-05
33,beta,1,4,1.0,1.0,raw,4,1.0,8.025760784871145e-06
28,beta,1,4,1.0,1.0,raw,4,1.0,1.981912628082339e-05
24,beta,1,4,1.0,1.0,raw,4,1.0,4.665872375515448e-06
5,beta,1,4,1.0,1.0,raw,4,1.0,1.470179338431414e-05
13,beta,1,4,1.0,1.0,raw,4,1.0,3.948514743049214e-05
20,beta,1,4,1.0,1.0,raw,4,1.0,9.415076674893869e-06
0,beta,1,4,1.0,1.0,raw,4,1.0,4.493989866079308e-05
36,beta,1,4,1.0,1.0,raw,4,1.0,6.307494847954035e-05
41,beta,1,4,1.0,1.0,raw,4,1.0,0.0002208415794998
25,beta,1,4,1.0,1.0,raw,4,1.0,6.096989057628936e-05
9,beta,1,4,1.0,1.0,raw,4,1.0,9.884053780767307e-06
40,beta,1,4,1.0,1.0,raw,4,1.0,0.000154037223469
21,beta,1,4,1.0,1.0,raw,4,1.0,2.025674616926911e-05
48,beta,1,4,1.0,1.0,raw,4,1.0,2.0335334388546588e-05
12,beta,1,4,1.0,1.0,raw,4,1.0,0.0001898488031072
45,beta,1,4,1.0,1.0,raw,4,1.0,7.0966466908627e-05
32,beta,1,4,1.0,1.0,raw,4,1.0,8.776470734912687e-05
16,beta,1,4,1.0,1.0,raw,4,1.0,1.065195023064553e-05
