seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,1,32,1.0,1.0,raw,32,0.8982538765717333,0.3117078755329511
43,beta,1,32,1.0,1.0,raw,32,0.9563404050144648,0.2409501461317146
2,beta,1,32,1.0,1.0,raw,32,0.8836142580823432,0.3297473333401329
6,beta,1,32,1.0,1.0,raw,32,0.906621500332957,0.3038500623564211
26,beta,1,32,1.0,1.0,raw,32,0.911103832296102,0.2882676408238085
30,beta,1,32,1.0,1.0,raw,32,0.929270759776323,0.2829732685581434
23,beta,1,32,1.0,1.0,raw,32,0.916586824608774,0.2819834655478183
10,beta,1,32,1.0,1.0,raw,32,0.9245207737011014,0.2936261874881732
42,beta,1,32,1.0,1.0,raw,32,0.916939024390244,0.2833015139444391
7,beta,1,32,1.0,1.0,raw,32,0.9187038681816788,0.2816070832954715
39,beta,1,32,1.0,1.0,raw,32,0.9071952662721894,0.2998028236356074
3,beta,1,32,1.0,1.0,raw,32,0.901689708141321,0.308682175534182
34,beta,1,32,1.0,1.0,raw,32,0.939780318417464,0.2685851062539985
38,beta,1,32,1.0,1.0,raw,32,0.9239071356471776,0.2742309909924966
27,beta,1,32,1.0,1.0,raw,32,0.9014622513924232,0.3140723013416001
35,beta,1,32,1.0,1.0,raw,32,0.907176374972563,0.2976091242452848
24,beta,1,32,1.0,1.0,raw,32,0.9080149002643596,0.3045468250165212
47,beta,1,32,1.0,1.0,raw,32,0.9209310692648202,0.2881057603126133
46,beta,1,32,1.0,1.0,raw,32,0.9430792152075966,0.26590908510609
18,beta,1,32,1.0,1.0,raw,32,0.9463206770894558,0.2590674720121381
14,beta,1,32,1.0,1.0,raw,32,0.9187269984917044,0.2878068509619204
11,beta,1,32,1.0,1.0,raw,32,0.9430482403109464,0.2591816210009875
15,beta,1,32,1.0,1.0,raw,32,0.9227864583333332,0.2846534424309468
22,beta,1,32,1.0,1.0,raw,32,0.9512895323070087,0.2405839950128826
19,beta,1,32,1.0,1.0,raw,32,0.9188207764494776,0.2782806769809038
31,beta,1,32,1.0,1.0,raw,32,0.9275894946693248,0.2778386549336068
33,beta,1,32,1.0,1.0,raw,32,0.9358279228254364,0.2678808880113026
16,beta,1,32,1.0,1.0,raw,32,0.9356726601031176,0.255327691498191
32,beta,1,32,1.0,1.0,raw,32,0.915171059189118,0.2951280997055763
12,beta,1,32,1.0,1.0,raw,32,0.9201152771308804,0.2654707965917882
20,beta,1,32,1.0,1.0,raw,32,0.8996575365782253,0.3000213511140912
4,beta,1,32,1.0,1.0,raw,32,0.915356635690974,0.2969025297952674
48,beta,1,32,1.0,1.0,raw,32,0.928997751663074,0.2817291707858326
28,beta,1,32,1.0,1.0,raw,32,0.9361920238573684,0.2648674034426296
40,beta,1,32,1.0,1.0,raw,32,0.922419143095835,0.278195483674002
36,beta,1,32,1.0,1.0,raw,32,0.8915564670108197,0.3203214899988001
44,beta,1,32,1.0,1.0,raw,32,0.8988771929824562,0.3036933599457412
8,beta,1,32,1.0,1.0,raw,32,0.9659859893252002,0.2256344994793337
37,beta,1,32,1.0,1.0,raw,32,0.9082198952879582,0.3081554970727722
29,beta,1,32,1.0,1.0,raw,32,0.8994552456090918,0.3029672649793739
1,beta,1,32,1.0,1.0,raw,32,0.882928862817497,0.3346205447067445
21,beta,1,32,1.0,1.0,raw,32,0.9036663220545889,0.2924113757210242
41,beta,1,32,1.0,1.0,raw,32,0.9273201056768192,0.2945903278668811
5,beta,1,32,1.0,1.0,raw,32,0.8776062333164996,0.3163709385323695
17,beta,1,32,1.0,1.0,raw,32,0.9343859165287736,0.270734175845738
49,beta,1,32,1.0,1.0,raw,32,0.902897922625755,0.305279791845767
45,beta,1,32,1.0,1.0,raw,32,0.8722855375916599,0.3294956779182043
25,beta,1,32,1.0,1.0,raw,32,0.9153317505935274,0.2871369069710776
9,beta,1,32,1.0,1.0,raw,32,0.9111545505776276,0.2999793174687285
13,beta,1,32,1.0,1.0,raw,32,0.9630733321247281,0.23003938248350225
