seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4154656764530435
3,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3957322978857877
15,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3952274034906622
18,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.382893417525679
7,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3822336881399289
27,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3993457838425046
23,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4131849995325238
31,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3672641308950265
11,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3980477614762577
19,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3706127663598768
43,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4235478894248329
6,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4184779336665256
26,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4163832495315073
10,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3954391608290013
42,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3920714681649571
46,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3924700839796585
38,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4008305063894807
34,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3750877675026932
35,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3962492033953436
47,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3578135736107857
14,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3777354132905278
22,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4169051640133774
39,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4155566410266131
2,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3867764863350155
30,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3825353280750608
1,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4141026243526021
41,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3578056193194079
13,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4145920623965775
37,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4037496576809686
8,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.399019489464855
33,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4073710196804802
28,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4307553114638303
48,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3624307253843015
29,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4034769894622307
17,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3983811170289708
24,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4479645178614573
45,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4213700981884801
4,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3969909738816562
20,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3891638129815161
5,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4021382223557661
16,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4118174744000331
9,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3830219007485319
49,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3933062846203236
40,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3758412898075042
44,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3653605442091219
36,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4036222533034796
25,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.4237316039264258
32,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3738375567897626
12,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3899894312196817
21,bernoulli,1,4,1.0,1.0,raw,4,0.5,0.3752645910146925
