seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,novelty_bin,novelty_bin_order,num_items,num_pairs,mean_dmin,q50_dmin,q80_dmin,auc_knn,rmse_knn,brier_knn,logloss_knn,ece_knn,mean_ae_knn,p90ae_knn,p95ae_knn,auc_araf,rmse_araf,brier_araf,logloss_araf,ece_araf,mean_ae_araf,p90ae_araf,p95ae_araf
24,0.064,1,beta,4,0.1,pca,raw,moderate,1,3,3,0.4002077579498291,0.3373364806175232,0.4457640647888183,0.0,0.613712038004332,0.3766424373209546,1.0210827246592444,0.6121507386366526,0.5788174048066139,0.7275615572929383,0.7290838181972503,0.5,0.7622462475772828,0.5810193572490183,1.806280986707944,0.6322876835862796,0.6441467106342316,0.9323643922805788,0.9323772579431534
24,0.064,1,beta,4,0.1,pca,raw,outlier,2,2,2,0.4988768994808197,0.3373364806175232,0.4457640647888183,0.5,0.6113428473604134,0.3737401014299757,0.9585822144488094,0.6018905490636826,0.6018905490636826,0.6875610560178756,0.6982698693871499,0.5,0.6706151016941154,0.4497245918014008,1.4862803398461404,0.4788257367908954,0.4788257367908954,0.8544429935514927,0.9013951506465672
40,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.3800179958343506,0.44394451379776,0.5560029745101929,0.6666666666666667,0.4775819661656645,0.2280845355782723,0.8009460761384257,0.4967330932617187,0.3567330956459045,0.7458490490913391,0.7659825563430785,0.6666666666666667,0.4790508935496576,0.2294897478736469,1.1781935935033965,0.3933050513267517,0.3053432106971741,0.7507630586624146,0.8707813322544097
40,0.064,1,beta,4,0.1,pca,raw,moderate,1,3,3,0.494376540184021,0.44394451379776,0.5560029745101929,0.5,0.4034122242238059,0.1627414148858316,0.60896425298271,0.4328764279683431,0.3662097454071045,0.5078202247619629,0.5159071862697602,0.5,0.2296530220857578,0.0527405050214611,0.2698138718750558,0.226063330968221,0.1961984634399414,0.3149213790893554,0.3309963941574096
40,0.064,1,beta,4,0.1,pca,raw,outlier,2,2,2,0.7036911249160767,0.44394451379776,0.5560029745101929,1.0,0.0057377453644921,3.292172360325196e-05,0.1166696619337248,0.1040576928024292,0.0040571987628936,0.0073029577732086,0.0077086776494979,1.0,0.4222767118256563,0.1783176119090797,0.4272297339675899,0.291575163602829,0.3763197660446167,0.5295799016952515,0.5487374186515808
44,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.3487680852413177,0.4588315784931183,0.5171824097633362,0.1666666666666666,0.4469166689565756,0.1997345330661874,1.058322835959565,0.517199182510376,0.3971991837024688,0.6527557969093323,0.6887101233005524,0.0,0.5375681634309017,0.2889795266191663,1.7518969841024727,0.5392621397972107,0.4192621409893036,0.8187825322151184,0.9044184505939484
44,0.064,1,beta,4,0.1,pca,raw,moderate,1,3,3,0.5022571682929993,0.4588315784931183,0.5171824097633362,0.0,0.5474418699419143,0.2996926082607973,0.947739197799174,0.5825061798095703,0.5158395171165466,0.7009636521339416,0.7373323917388915,0.0,0.580092407461745,0.3365072007774105,2.461559599202827,0.4476858774820963,0.3810192147890727,0.8181019425392151,0.9085942804813384
44,0.064,1,beta,4,0.1,pca,raw,outlier,2,2,2,0.589350700378418,0.4588315784931183,0.5171824097633362,0.0,0.5288813180836842,0.279715457378618,0.7559762538468606,0.5098622441291809,0.5098622441291809,0.6223069310188294,0.6363625168800354,1.0,0.4403129642882109,0.1938755128640625,0.5735322679852304,0.424358993768692,0.424358993768692,0.5183205425739288,0.5300657361745834
4,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.2786401212215423,0.3544345200061798,0.4323194622993469,0.0,0.5989217636443877,0.3587072650925992,1.001563648686406,0.5540767416357995,0.5540767416357995,0.8116239652037621,0.8544836699962616,0.0,0.7254695670661211,0.5263061093419594,1.9648152800632128,0.5973249278962612,0.5973249278962612,0.9780287094414234,0.983798298239708
4,0.064,1,beta,4,0.1,pca,raw,moderate,1,3,3,0.3992020189762115,0.3544345200061798,0.4323194622993469,0.5,0.3222028613382878,0.1038146795021104,0.4961739608393865,0.3911306560039519,0.291130652030309,0.3903944730758667,0.3909482330083847,0.5,0.5095944171905127,0.2596864843930357,0.949495418754258,0.5545734117428461,0.4545734077692032,0.6886841773986816,0.7260275244712829
4,0.064,1,beta,4,0.1,pca,raw,outlier,2,2,2,0.4644515216350555,0.3544345200061798,0.4323194622993469,0.0,0.5774389526583437,0.3334357262225187,0.9956213346491364,0.6274345368146896,0.5774345248937607,0.5792404145002366,0.579466150701046,0.0,0.6328384017352902,0.4004844661527249,2.579506058946602,0.5177792832255363,0.4677792713046074,0.8087585851550102,0.8513809993863105
12,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.3022218346595764,0.3178951442241668,0.4796632528305053,0.75,0.4548698570860156,0.2069065706448806,0.6265314402109144,0.4459142446517944,0.4259142443537712,0.6089317440986634,0.6452223479747772,0.75,0.4746515231785274,0.2252940653256313,0.7775279574287604,0.3430477237328887,0.3246540358290076,0.722465717792511,0.8354884505271911
