scenario,test_rmse,test_auc,active_dims,active_indices
Post-8,0.327727349334451,0.6711635431350104,0,[]
Pre-8,0.47235690639595657,0.5648099167028542,0,[]
Pre-22,0.46476034810681827,0.6135183233754758,0,[]
