n_samples,model_type,seed,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,embedding_type
54,beta,123,0.2765223603295649,0.282546498936375,0.2674534360965489,0.5,0.5812371786928806,0.6760494541048834,13,"[2, 3, 9, 10, 13, 14, 15, 17, 18, 22, 27, 28, 29]",sae
54,beta,789,0.2822917744095563,0.2903243309254723,0.2630260186896001,0.5,0.5681091794282721,0.7659939172821798,16,"[1, 2, 4, 5, 7, 8, 10, 12, 14, 16, 22, 24, 25, 27, 28, 29]",sae
54,beta,2024,0.2469937654511499,0.2368758451451747,0.22045808878534,0.5,0.6325100043261952,0.7502433484750162,12,"[1, 4, 9, 10, 11, 14, 19, 23, 24, 26, 27, 28]",sae
54,beta,1337,0.2775546064862851,0.2779151108458482,0.2561000390994151,0.5,0.6455210260670367,0.7412176364711954,0,[],sae
54,beta,555,0.2642259216237658,0.2699457243611329,0.2517431552310654,0.5,0.5973532270050879,0.7628980163493969,17,"[1, 3, 7, 8, 9, 11, 13, 14, 18, 19, 20, 21, 22, 23, 24, 26, 28]",sae
54,beta,666,0.2648222517892418,0.2734622944080891,0.2618726875457997,0.5,0.5590752465262214,0.628081577767817,7,"[3, 7, 8, 11, 12, 16, 26]",sae
54,beta,777,0.2708111518555149,0.2678455631273512,0.2480920314986367,0.5,0.655337741174651,0.7705834589954762,0,[],sae
54,beta,888,0.2618158786516519,0.2767178093987391,0.2585141286982478,0.5,0.4816119510086926,0.643459399514001,9,"[9, 11, 14, 15, 16, 21, 22, 24, 29]",sae
54,beta,999,0.2867884236843835,0.289516852258122,0.2686226360018213,0.5,0.6317800178861365,0.688998289529664,2,"[13, 15]",sae
54,beta,42,0.26235738808567505,0.2609849721018692,0.23975029687246532,0.5,0.6246937082972066,0.7973385607117275,3,"[17, 23, 24]",sae
