scenario,lambda_tau,test_auc,test_rmse,active_dims
Post-8,1.3,0.6712297664210098,0.32772537146330527,0
Post-8,1.0,0.7050320236890153,0.3272981329658945,0
Post-8,0.8,0.7107650681626823,0.32635134482155587,0
Post-8,0.5,0.6576161509134083,0.3281876753939362,0
Post-8,0.2,0.662923474262793,0.3270253533507463,0
Post-8,0.1,0.7379639177695997,0.3225011600613984,0
Post-8,0.05,0.7494300067169332,0.3191798233930172,30
Post-8,0.01,0.7499787139437859,0.316707326554114,30
Pre-8,1.3,0.6229419474863642,0.4769001843113142,0
Pre-8,1.0,0.6225952391019407,0.47787814593146477,0
Pre-8,0.8,0.620303581243922,0.47838430354349304,0
Pre-8,0.5,0.6232886558707877,0.4783882594417804,0
Pre-8,0.2,0.6309246966301636,0.4750301709129916,3
Pre-8,0.1,0.6424760052429073,0.4782438479544802,30
Pre-8,0.05,0.6474905923639592,0.48277612567656,30
Pre-8,0.01,0.6502219779290517,0.48485770323158034,30
Pre-22,1.3,0.613506642604278,0.4647665360378173,0
Pre-22,1.0,0.6130944782491525,0.46627834681331987,0
Pre-22,0.8,0.613822023426621,0.4660658119465606,0
Pre-22,0.5,0.6129818422411729,0.466633564620841,0
Pre-22,0.2,0.6212051051644861,0.4656616676537143,4
Pre-22,0.1,0.626543217601921,0.47239028131095656,30
Pre-22,0.05,0.630321112743638,0.47943947807284876,30
Pre-22,0.01,0.631554268445815,0.4841921368868457,30
