n_samples,model_type,seed,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type
1,bernoulli,42,0.2623404051775929,0.3570037438880194,0.2390053799275083,0.5,0.5528141139216647,0.8104195725110264,22,"[1, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 28, 29]","[0.0, 0.0034448120277374983, 0.0009941161843016744, 0.006601348519325256, 0.0028403231408447027, 0.0024104209151118994, 0.0020648306235671043, 0.0, 0.00045712292194366455, 0.0038343966007232666, 0.0024965954944491386, 0.0019543953239917755, 0.003968420904129744, 0.001141842920333147, 0.0010796076385304332, 0.0014361273497343063, 0.007668798323720694, 0.0011638881405815482, 0.0, 0.001705462345853448, 0.005195526871830225, 0.0012174248695373535, 0.0035044678952544928, 0.004688830580562353, 0.005234826356172562, 0.00019177593640051782, 0.0, 1.3598649275081698e-05, 0.0014963197754696012, 0.0017604806926101446]",raw
1,bernoulli,123,0.2764634951953074,0.3616475523381817,0.2780402531254677,0.5,0.5473889278977875,0.7352718461305467,15,"[0, 2, 3, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 19, 28]","[0.003931259736418724, 0.0, 0.002528118435293436, 0.002249822486191988, 0.0, 0.0024781404063105583, 0.003247235668823123, 0.0, 0.002692336216568947, 0.001146358554251492, 0.0, 0.007343315053731203, 0.006363374646753073, 0.0, 0.004827058874070644, 0.0061331926845014095, 0.008395113982260227, 0.001110272714868188, 0.0, 0.004586860537528992, 0.00023942344705574214, 0.0, 0.000254101469181478, 0.0, 0.0, 0.0003499846498016268, 0.0, 0.0, 0.002652824856340885, 0.0]",raw
1,bernoulli,789,0.2819664228119859,0.3161796888965198,0.2910596698994463,0.5,0.5689126695512954,0.5561699113780153,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0616880394518375e-05, 0.0, 0.0, 0.0, 0.0]",raw
1,bernoulli,2024,0.2498484315964384,0.2527864411389657,0.2517864947852856,0.5,0.5962240428293316,0.5879772333982263,1,[15],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004156510345637798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw
1,bernoulli,1337,0.2775342448257351,0.3018571264294881,0.2992773481713942,0.5,0.6446336643633022,0.4910886228901559,1,[20],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011298720492050052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw
1,bernoulli,555,0.2639363269594661,0.316616883045464,0.2906892725927997,0.5,0.5974318298748069,0.4660864345738296,1,[28],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012063710018992424, 0.0]",raw
1,bernoulli,666,0.2648654625018489,0.3622933769002906,0.2675203274864506,0.5,0.5760729493500673,0.6501498767368893,16,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 14, 15, 19, 20, 22, 27, 29]","[0.0006963924970477819, 0.0055878181010484695, 0.005779541563242674, 0.008786824531853199, 0.0016397791914641857, 0.0022964708041399717, 0.0, 0.0011264184722676873, 0.004054483957588673, 0.007873686030507088, 0.0005539808771573007, 0.001407044823281467, 4.693637674790807e-05, 0.0, 0.0040586055256426334, 0.0013056923635303974, 5.747334944317117e-05, 0.0, 0.0, 0.0013575623743236065, 0.004749251529574394, 0.0, 0.0040807658806443214, 0.0, 0.0, 0.0, 0.0002035510551650077, 0.0041360692121088505, 9.609932021703571e-05, 0.0011114506050944328]",raw
1,bernoulli,777,0.2708109867829287,0.3637257594457306,0.2466673523996998,0.5,0.5188802536442021,0.7925066697598886,13,"[0, 1, 4, 5, 8, 10, 11, 15, 17, 18, 21, 23, 26]","[0.00790667999535799, 0.0015180081827566028, 0.0, 0.0, 0.0071228379383683205, 0.0016438019229099154, 0.0, 0.0, 0.0011330334236845374, 0.0, 0.0015413528308272362, 0.0030301169026643038, 0.0, 0.0, 0.0, 0.0029013052117079496, 1.6238016542047262e-05, 0.005747243296355009, 0.003073708852753043, 0.0, 9.173851867672056e-05, 0.004046491347253323, 0.0, 0.0039032220374792814, 0.0, 0.0, 0.008315902203321457, 0.0, 0.0, 0.00019149410945829004]",raw
1,bernoulli,888,0.262311960603797,0.3417074576990222,0.2613307011909261,0.5,0.528205880913939,0.7555164146973923,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.010540246963500977, 0.0069453357718884945, 0.010109500028192997, 0.01000214833766222, 0.010606486350297928, 0.00964422058314085, 0.005535620730370283, 0.005959453526884317, 0.006713780574500561, 0.006588407792150974, 0.007442772388458252, 0.012769334949553013, 0.007016678340733051, 0.008049136027693748, 0.004726720042526722, 0.00409884937107563, 0.006180163472890854, 0.00386316841468215, 0.008040746673941612, 0.008006015792489052, 0.00641672732308507, 0.0058001624420285225, 0.010248642414808273, 0.004993635695427656, 0.015115938149392605, 0.015892526134848595, 0.014876349829137325, 0.00873488374054432, 0.003845102386549115, 0.005803892854601145]",raw
1,bernoulli,999,0.2866108647199483,0.34863297278136085,0.26288368249939853,0.5,0.6280291387738446,0.7148724093320483,27,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28]","[0.004536460619419813, 0.01086408831179142, 0.014602289535105228, 0.015408199280500412, 0.0028488917741924524, 0.00751977926120162, 0.0059673963114619255, 0.005347243510186672, 0.002318935701623559, 0.004766365978866816, 0.002610975643619895, 0.002863554051145911, 0.007681194692850113, 0.003775157267227769, 0.00039003955316729844, 0.0076772174797952175, 0.0037362820003181696, 0.009384523145854473, 0.003980263136327267, 0.0044168527238070965, 0.0, 0.004110225476324558, 0.003769097151234746, 0.014594918116927147, 0.015121202915906906, 0.012286496348679066, 0.011811116710305214, 0.009937331080436707, 0.005037547554820776, 0.0009297782671637833]",raw
