n_samples,model_type,rmse_mean,rmse_rasch,rmse_amortized,auc_mean,auc_rasch,auc_amortized,active_dims,active_indices,embedding_type
1,beta,0.27984300318308936,0.2721521548853246,0.2660146407950816,0.5,0.581043956043956,0.8365384615384617,3,"[5, 9, 12]",sae
2,beta,0.2764746521045646,0.2719462739760392,0.26592519570293505,0.5,0.5879120879120879,0.8337912087912087,12,"[4, 5, 6, 9, 11, 12, 14, 16, 19, 25, 28, 29]",sae
3,beta,0.2762947526774855,0.27210919772549513,0.2659924714127288,0.5,0.5879120879120879,0.831043956043956,11,"[4, 5, 6, 9, 12, 14, 16, 19, 25, 28, 29]",sae
4,beta,0.27633917568846394,0.27208196610948937,0.2660550114942344,0.5,0.5851648351648352,0.8296703296703296,9,"[4, 5, 9, 12, 14, 16, 19, 25, 28]",sae
5,beta,0.2768770508873202,0.2721059256944801,0.26607802971252353,0.5,0.598901098901099,0.8324175824175823,8,"[4, 5, 9, 12, 14, 16, 19, 25]",sae
6,beta,0.2772184276851999,0.2720543483588184,0.26611088742920597,0.5,0.6016483516483516,0.8282967032967032,7,"[5, 9, 12, 14, 16, 19, 25]",sae
7,beta,0.277321948954196,0.27211711067552813,0.26611309926438015,0.5,0.603021978021978,0.8296703296703296,7,"[5, 9, 12, 14, 16, 19, 25]",sae
8,beta,0.27736358840266717,0.27205582721869015,0.2661163749864963,0.5,0.6085164835164836,0.831043956043956,7,"[5, 9, 12, 14, 16, 19, 25]",sae
9,beta,0.27732447436334556,0.27190895635838286,0.2660553895467508,0.5,0.6126373626373627,0.8296703296703296,9,"[4, 5, 9, 12, 14, 16, 19, 25, 28]",sae
10,beta,0.2774499501809704,0.27180155057906913,0.26615538657723453,0.5,0.6071428571428572,0.8241758241758241,6,"[5, 9, 12, 14, 16, 25]",sae
11,beta,0.27752496950688704,0.2718628502465836,0.26616078923873737,0.5,0.5975274725274725,0.8214285714285715,6,"[5, 9, 12, 14, 16, 25]",sae
12,beta,0.2775810462289033,0.27186798875910373,0.2661616010281389,0.5,0.5989010989010989,0.8214285714285715,6,"[5, 9, 12, 14, 16, 25]",sae
13,beta,0.2776243509656867,0.2718236025097282,0.2661621748777738,0.5,0.5934065934065934,0.8214285714285715,6,"[5, 9, 12, 14, 16, 25]",sae
14,beta,0.27765860617200894,0.27186500158231114,0.2661626227595561,0.5,0.5879120879120879,0.8214285714285715,6,"[5, 9, 12, 14, 16, 25]",sae
15,beta,0.2776863238996404,0.27165208754493053,0.266163728464479,0.5,0.5851648351648352,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
16,beta,0.27770914266277114,0.27167474123787205,0.26616406437392565,0.5,0.5865384615384616,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
17,beta,0.27772817698670477,0.2719214509328188,0.26616438628674755,0.5,0.5865384615384616,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
18,beta,0.2777443397118611,0.27168433969053607,0.2661646522144372,0.5,0.581043956043956,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
19,beta,0.2777581678197297,0.2717375638128815,0.266164932138034,0.5,0.5769230769230769,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
20,beta,0.27777009082463106,0.2717058938370328,0.2661651560766995,0.5,0.5741758241758241,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
21,beta,0.27778053812138964,0.2716220259751594,0.2661653800151766,0.5,0.5741758241758241,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
22,beta,0.2777896976231417,0.27168176185369963,0.2661655619650505,0.5,0.5728021978021978,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
23,beta,0.27779778401862104,0.27173849603330114,0.2661657719070581,0.5,0.5714285714285714,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
24,beta,0.27780503877676405,0.2715861863713808,0.2661659538566641,0.5,0.5714285714285714,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
25,beta,0.2778115290098096,0.27066963395968785,0.26616610781392586,0.5,0.5508241758241759,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
26,beta,0.2778173486352991,0.2717940122185512,0.2661665696851768,0.5,0.5714285714285714,0.8200549450549451,6,"[5, 9, 12, 14, 16, 25]",sae
