n_samples,model_type,seed,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,embedding_type,scenario,tau_values
1,beta,123,0.4490477692664083,0.4282607928250525,0.3888808603915015,0.5,0.6803394808205151,0.7902538510875313,8,"[0, 1, 8, 17, 19, 21, 27, 29]",sae,Pre-max,
1,beta,789,0.4451005832978118,0.4279947228852826,0.410029019195254,0.5,0.6539346709706564,0.7139730216083527,6,"[3, 4, 7, 25, 27, 29]",sae,Pre-max,
1,beta,2024,0.4447525418902059,0.4269621161432934,0.4056848666679074,0.5,0.6468310074518073,0.7029196785550774,8,"[1, 6, 10, 12, 13, 14, 16, 28]",sae,Pre-max,
1,beta,1337,0.4507153831503766,0.424726913172734,0.3906049914004014,0.5,0.6999960489990891,0.7899497666405306,7,"[6, 10, 12, 14, 18, 22, 26]",sae,Pre-max,
1,beta,555,0.441699310511888,0.4212456353185004,0.4062812683103117,0.5,0.6728184454738503,0.7190739045611311,8,"[2, 5, 9, 10, 13, 17, 19, 21]",sae,Pre-max,
1,beta,666,0.4515426895389562,0.4373192924865017,0.4300374253475999,0.5,0.6242040268456376,0.6446986577181208,7,"[8, 11, 13, 15, 16, 20, 27]",sae,Pre-max,
1,beta,777,0.443728860163513,0.435941748102744,0.4199020026184425,0.5,0.5997345817390373,0.6979495332460257,6,"[3, 6, 10, 20, 25, 29]",sae,Pre-max,
1,beta,888,0.4474953307275813,0.4332363958627723,0.4113092836591319,0.5,0.6379864984787018,0.7088780182165705,6,"[5, 8, 15, 18, 19, 28]",sae,Pre-max,
1,beta,999,0.4499542683304927,0.4349704229231013,0.414408629075535,0.5,0.6297524202278207,0.7344763958285822,10,"[3, 8, 10, 11, 15, 17, 18, 19, 20, 22]",sae,Pre-max,
1,beta,42,0.44676633727477466,0.4973609089865024,0.4346581188175168,0.5,0.5122994515488082,0.6781401161636339,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",sae,Pre-max,"[1.1663814783096313, 1.239173173904419, 1.3292156457901, 1.2773499488830566, 1.3579778671264648, 1.2166308164596558, 1.2748403549194336, 1.2209856510162354, 1.3197836875915527, 1.1611404418945312, 1.289745807647705, 1.2140679359436035, 1.3490185737609863, 1.2530323266983032, 1.4349850416183472, 1.2637938261032104, 1.4319812059402466, 1.264519214630127, 1.3778694868087769, 1.229641318321228, 1.200584888458252, 1.4498647451400757, 1.3794435262680054, 1.3381969928741455, 1.467331051826477, 1.295346975326538, 1.363196611404419, 1.3788104057312012, 1.355441689491272, 1.4250119924545288]"
