n_samples,model_type,seed,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,42,0.4443747199603565,0.4215876695769733,0.4016037960563641,0.5,0.6796473473921293,0.7607540533452631,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4092601537704468, 1.1224018335342407, 1.524621605873108, 1.3073303699493408, 1.2337967157363892, 1.4135282039642334, 1.3463140726089478, 1.6549098491668701, 1.692029595375061, 1.311849594116211, 1.5369482040405273, 1.3648027181625366, 1.546420931816101, 1.8451842069625854, 1.585280418395996, 1.5243010520935059, 1.6497892141342163, 1.4247688055038452, 1.6539621353149414, 1.5655771493911743, 1.4200628995895386, 1.6389304399490356, 1.5650641918182373, 1.6555356979370117, 1.3923505544662476, 1.4923899173736572, 1.6048160791397095, 1.1304094791412354, 1.6676582098007202, 1.635941982269287]",raw,Pre-max
1,beta,123,0.4490477692664083,0.4282607928250525,0.4232587549675191,0.5,0.6803394808205151,0.7653103937167356,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.5390208959579468, 1.5247397422790527, 1.6508355140686035, 1.5486388206481934, 1.486319899559021, 1.704672932624817, 1.7208361625671387, 1.4801783561706543, 1.412623405456543, 1.4949949979782104, 1.6006461381912231, 1.088047742843628, 1.6382219791412354, 1.7337924242019653, 1.7304326295852661, 1.540001630783081, 1.3197647333145142, 1.3303693532943726, 1.1497009992599487, 1.548170804977417, 1.3579570055007935, 1.8022993803024292, 1.4531636238098145, 1.56827712059021, 1.7783516645431519, 1.2952468395233154, 1.3214213848114014, 1.4747358560562134, 1.4503729343414307, 1.6199791431427002]",raw,Pre-max
1,beta,789,0.4451005832978118,0.4279947228852826,0.4369258860257415,0.5,0.6539346709706564,0.7055187883531813,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2739874124526978, 1.3692747354507446, 1.1764051914215088, 1.608382225036621, 1.6577614545822144, 1.5341624021530151, 1.5604251623153687, 1.682657241821289, 1.5317174196243286, 1.521766185760498, 1.6353356838226318, 1.6970518827438354, 1.663953185081482, 1.6150847673416138, 1.6808650493621826, 1.3754568099975586, 1.4416444301605225, 1.7949438095092773, 1.672863483428955, 1.6391912698745728, 1.2826815843582153, 1.3701393604278564, 1.5814334154129028, 1.8020457029342651, 1.5478023290634155, 1.472806453704834, 1.7047594785690308, 1.5390007495880127, 1.6884294748306274, 1.7543636560440063]",raw,Pre-max
1,beta,2024,0.4447525418902059,0.4269621161432934,0.4495934457881972,0.5,0.6468310074518073,0.7164358401706392,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.327391505241394, 1.6139949560165405, 1.2350711822509766, 1.6305322647094727, 1.6089324951171875, 1.6755064725875854, 1.626407504081726, 1.5120184421539307, 1.567796230316162, 1.6940957307815552, 1.2152013778686523, 1.6316999197006226, 1.35284423828125, 1.3096843957901, 1.8201059103012085, 1.6894526481628418, 1.5764952898025513, 1.4599119424819946, 1.541387915611267, 1.6923227310180664, 1.14304780960083, 1.6702816486358643, 1.8060271739959717, 1.605406641960144, 1.2272474765777588, 1.6115179061889648, 1.5569427013397217, 1.6242908239364624, 1.5780658721923828, 1.7020376920700073]",raw,Pre-max
1,beta,1337,0.4507153831503766,0.424726913172734,0.4289751042753896,0.5,0.6999960489990891,0.7774818546109571,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.5626896619796753, 1.7149864435195923, 1.6475958824157715, 1.5115245580673218, 1.5448585748672485, 1.6326991319656372, 1.658519983291626, 1.654758095741272, 1.5079063177108765, 1.3268224000930786, 1.8117872476577759, 1.6288058757781982, 1.3222358226776123, 1.526942491531372, 1.5536998510360718, 1.523288369178772, 1.3353914022445679, 1.6417094469070435, 1.530944585800171, 1.7476410865783691, 1.1676582098007202, 1.562508463859558, 1.5940190553665161, 1.3400232791900635, 1.4553128480911255, 1.5277152061462402, 1.7380214929580688, 1.7197767496109009, 1.521186351776123, 1.2983925342559814]",raw,Pre-max
1,beta,555,0.441699310511888,0.4212456353185004,0.4112472374947937,0.5,0.6728184454738503,0.7606181366520886,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4433889389038086, 1.1067626476287842, 1.8291133642196655, 1.3883521556854248, 1.448408603668213, 1.5372228622436523, 1.3027266263961792, 1.4330531358718872, 1.573331356048584, 1.711377739906311, 1.6193026304244995, 1.4075219631195068, 1.5966383218765259, 1.5955904722213745, 1.5634328126907349, 1.6386796236038208, 1.5902466773986816, 1.3828765153884888, 1.6540833711624146, 1.411407232284546, 1.4951368570327759, 1.3247164487838745, 1.64041006565094, 1.5426852703094482, 1.8084211349487305, 1.4801461696624756, 1.6998544931411743, 1.632851481437683, 1.1905474662780762, 1.1271318197250366]",raw,Pre-max
1,beta,666,0.4515426895389562,0.4373192924865017,0.460823529911216,0.5,0.6242040268456376,0.6756429530201342,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4864966869354248, 1.6554546356201172, 1.7969914674758911, 1.5203797817230225, 1.250792384147644, 1.4799659252166748, 1.6863622665405273, 1.738576889038086, 1.7352906465530396, 1.5409753322601318, 1.3280177116394043, 1.856293797492981, 1.6659998893737793, 1.4355592727661133, 1.566575527191162, 1.4703271389007568, 1.614126205444336, 1.6672381162643433, 1.757858157157898, 1.546846866607666, 1.7336649894714355, 1.6889925003051758, 1.4212995767593384, 1.3549121618270874, 1.279473066329956, 1.2329350709915161, 1.6662240028381348, 1.8215659856796265, 1.6896158456802368, 1.3428027629852295]",raw,Pre-max
1,beta,777,0.443728860163513,0.435941748102744,0.4436761841696547,0.5,0.5997345817390373,0.6974767788150088,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2582263946533203, 1.5651774406433105, 1.5685913562774658, 1.5242820978164673, 1.682306170463562, 1.3465172052383423, 1.7069436311721802, 1.682201623916626, 1.1705402135849, 1.7300015687942505, 1.5515737533569336, 1.5486372709274292, 1.5248175859451294, 1.4713526964187622, 1.8828665018081665, 1.760789394378662, 1.630969524383545, 1.1589406728744507, 1.5553829669952393, 1.7308733463287354, 1.5183281898498535, 1.598116397857666, 1.484161376953125, 1.4581384658813477, 1.7079132795333862, 1.4539225101470947, 1.718185305595398, 1.5403746366500854, 1.8125883340835571, 1.7386847734451294]",raw,Pre-max
1,beta,888,0.4474953307275813,0.4332363958627723,0.4268274315934089,0.5,0.6379864984787018,0.7340818331643002,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.666265845298767, 1.5372494459152222, 1.6023346185684204, 1.5024796724319458, 1.2624198198318481, 1.5845341682434082, 1.8827319145202637, 1.6942695379257202, 1.7319416999816895, 1.6511964797973633, 1.717698574066162, 1.5983656644821167, 1.511899471282959, 1.5225369930267334, 1.7807536125183105, 1.3461697101593018, 1.6163328886032104, 1.5195140838623047, 1.650724172592163, 1.375162124633789, 1.369438648223877, 1.3087934255599976, 1.6807903051376343, 1.4204479455947876, 1.4273099899291992, 1.6022052764892578, 1.6422890424728394, 1.4993271827697754, 1.438903570175171, 1.6789484024047852]",raw,Pre-max
1,beta,999,0.44995426833049273,0.4349704229231013,0.4319459517089097,0.5,0.6297524202278207,0.7384504761922712,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4355838298797607, 1.5046603679656982, 1.6977527141571045, 1.193961501121521, 1.6203794479370117, 1.453683614730835, 1.6403144598007202, 1.4649649858474731, 1.701643466949463, 1.4726897478103638, 1.6814982891082764, 1.2032191753387451, 1.5707029104232788, 1.3683525323867798, 1.674513339996338, 1.696595549583435, 1.7269781827926636, 1.4469616413116455, 1.4322508573532104, 1.6997581720352173, 1.7054787874221802, 1.6005147695541382, 1.4773848056793213, 1.52627694606781, 1.5378940105438232, 1.5256403684616089, 1.5484836101531982, 1.2077853679656982, 1.5190435647964478, 1.4666574001312256]",raw,Pre-max
