Loading Post-Revision Data...

Loading Pre-Revision Data...

==================================================
Tuning Scenario: Post-8
==================================================

--- Testing LAMBDA_TAU = 1.3 ---
Epoch  300 | Loss: 5.7075 | Train RMSE: 0.3414 AUC: 0.5674 | Test RMSE: 0.2853 AUC: 0.4831 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  325 | Loss: 5.3846 | Train RMSE: 0.3448 AUC: 0.5775 | Test RMSE: 0.2895 AUC: 0.4995 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  350 | Loss: 5.1136 | Train RMSE: 0.3479 AUC: 0.5870 | Test RMSE: 0.2933 AUC: 0.5164 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  375 | Loss: 4.8846 | Train RMSE: 0.3508 AUC: 0.5957 | Test RMSE: 0.2967 AUC: 0.5311 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  400 | Loss: 4.6900 | Train RMSE: 0.3534 AUC: 0.6040 | Test RMSE: 0.2999 AUC: 0.5444 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  425 | Loss: 4.5239 | Train RMSE: 0.3557 AUC: 0.6117 | Test RMSE: 0.3027 AUC: 0.5561 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  450 | Loss: 4.3812 | Train RMSE: 0.3578 AUC: 0.6189 | Test RMSE: 0.3052 AUC: 0.5666 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  475 | Loss: 4.2581 | Train RMSE: 0.3597 AUC: 0.6252 | Test RMSE: 0.3075 AUC: 0.5782 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  500 | Loss: 4.1513 | Train RMSE: 0.3615 AUC: 0.6311 | Test RMSE: 0.3096 AUC: 0.5866 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  525 | Loss: 4.0583 | Train RMSE: 0.3630 AUC: 0.6364 | Test RMSE: 0.3114 AUC: 0.5971 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  550 | Loss: 3.9768 | Train RMSE: 0.3644 AUC: 0.6416 | Test RMSE: 0.3131 AUC: 0.6022 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  575 | Loss: 3.9052 | Train RMSE: 0.3656 AUC: 0.6461 | Test RMSE: 0.3145 AUC: 0.6075 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  600 | Loss: 3.8420 | Train RMSE: 0.3668 AUC: 0.6504 | Test RMSE: 0.3159 AUC: 0.6144 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  625 | Loss: 3.7859 | Train RMSE: 0.3678 AUC: 0.6545 | Test RMSE: 0.3171 AUC: 0.6219 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  650 | Loss: 3.7359 | Train RMSE: 0.3687 AUC: 0.6583 | Test RMSE: 0.3181 AUC: 0.6280 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  675 | Loss: 3.6911 | Train RMSE: 0.3695 AUC: 0.6619 | Test RMSE: 0.3191 AUC: 0.6333 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  700 | Loss: 3.6509 | Train RMSE: 0.3702 AUC: 0.6653 | Test RMSE: 0.3200 AUC: 0.6383 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  725 | Loss: 3.6146 | Train RMSE: 0.3708 AUC: 0.6686 | Test RMSE: 0.3207 AUC: 0.6439 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  750 | Loss: 3.5817 | Train RMSE: 0.3714 AUC: 0.6717 | Test RMSE: 0.3214 AUC: 0.6484 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  775 | Loss: 3.5517 | Train RMSE: 0.3719 AUC: 0.6746 | Test RMSE: 0.3220 AUC: 0.6525 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  800 | Loss: 3.5243 | Train RMSE: 0.3723 AUC: 0.6774 | Test RMSE: 0.3225 AUC: 0.6575 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  825 | Loss: 3.4991 | Train RMSE: 0.3726 AUC: 0.6801 | Test RMSE: 0.3229 AUC: 0.6614 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  850 | Loss: 3.4758 | Train RMSE: 0.3730 AUC: 0.6828 | Test RMSE: 0.3233 AUC: 0.6652 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  875 | Loss: 3.4542 | Train RMSE: 0.3732 AUC: 0.6853 | Test RMSE: 0.3236 AUC: 0.6674 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  900 | Loss: 3.4341 | Train RMSE: 0.3734 AUC: 0.6877 | Test RMSE: 0.3239 AUC: 0.6690 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  925 | Loss: 3.4152 | Train RMSE: 0.3736 AUC: 0.6898 | Test RMSE: 0.3241 AUC: 0.6709 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  950 | Loss: 3.3976 | Train RMSE: 0.3737 AUC: 0.6919 | Test RMSE: 0.3243 AUC: 0.6741 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  975 | Loss: 3.3809 | Train RMSE: 0.3738 AUC: 0.6940 | Test RMSE: 0.3244 AUC: 0.6768 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  999 | Loss: 3.3657 | Train RMSE: 0.3738 AUC: 0.6960 | Test RMSE: 0.3245 AUC: 0.6787 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch 1000 | Loss: 3.3651 | Train RMSE: 0.3738 AUC: 0.6961 | Test RMSE: 0.3245 AUC: 0.6787 | Tau (min/mean/max): 0.000/0.000/0.000
  Test RMSE: 0.3277 | Test AUC: 0.6712 | Active Dims: 0

--- Testing LAMBDA_TAU = 1.0 ---
Epoch    0 | Loss: 22.1231 | Train RMSE: 0.3930 AUC: 0.4926 | Test RMSE: 0.3367 AUC: 0.5777 | Tau (min/mean/max): 0.198/0.200/0.202
Epoch   25 | Loss: 12.9514 | Train RMSE: 0.3216 AUC: 0.5647 | Test RMSE: 0.2540 AUC: 0.6086 | Tau (min/mean/max): 0.231/0.246/0.252
Epoch   50 | Loss: 9.2005 | Train RMSE: 0.3171 AUC: 0.5890 | Test RMSE: 0.2509 AUC: 0.6223 | Tau (min/mean/max): 0.279/0.290/0.295
Epoch   75 | Loss: 8.7371 | Train RMSE: 0.3181 AUC: 0.5949 | Test RMSE: 0.2529 AUC: 0.6291 | Tau (min/mean/max): 0.258/0.267/0.274
Epoch  100 | Loss: 8.9748 | Train RMSE: 0.3182 AUC: 0.5920 | Test RMSE: 0.2530 AUC: 0.6294 | Tau (min/mean/max): 0.191/0.203/0.213
Epoch  125 | Loss: 9.0507 | Train RMSE: 0.3187 AUC: 0.5879 | Test RMSE: 0.2539 AUC: 0.6291 | Tau (min/mean/max): 0.123/0.139/0.150
Epoch  150 | Loss: 8.9641 | Train RMSE: 0.3199 AUC: 0.5764 | Test RMSE: 0.2556 AUC: 0.6133 | Tau (min/mean/max): 0.054/0.073/0.085
Epoch  175 | Loss: 8.5525 | Train RMSE: 0.3219 AUC: 0.5635 | Test RMSE: 0.2586 AUC: 0.5963 | Tau (min/mean/max): 0.000/0.006/0.016
Epoch  200 | Loss: 7.6659 | Train RMSE: 0.3259 AUC: 0.5728 | Test RMSE: 0.2641 AUC: 0.6008 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  225 | Loss: 6.9605 | Train RMSE: 0.3301 AUC: 0.5836 | Test RMSE: 0.2698 AUC: 0.6083 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  250 | Loss: 6.4020 | Train RMSE: 0.3343 AUC: 0.5937 | Test RMSE: 0.2753 AUC: 0.6175 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  275 | Loss: 5.9472 | Train RMSE: 0.3383 AUC: 0.6033 | Test RMSE: 0.2804 AUC: 0.6286 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  300 | Loss: 5.5723 | Train RMSE: 0.3420 AUC: 0.6115 | Test RMSE: 0.2852 AUC: 0.6357 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  325 | Loss: 5.2609 | Train RMSE: 0.3455 AUC: 0.6193 | Test RMSE: 0.2895 AUC: 0.6446 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  350 | Loss: 5.0004 | Train RMSE: 0.3486 AUC: 0.6262 | Test RMSE: 0.2935 AUC: 0.6505 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  375 | Loss: 4.7811 | Train RMSE: 0.3515 AUC: 0.6326 | Test RMSE: 0.2970 AUC: 0.6559 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  400 | Loss: 4.5955 | Train RMSE: 0.3541 AUC: 0.6383 | Test RMSE: 0.3001 AUC: 0.6608 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  425 | Loss: 4.4373 | Train RMSE: 0.3564 AUC: 0.6432 | Test RMSE: 0.3030 AUC: 0.6671 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  450 | Loss: 4.3019 | Train RMSE: 0.3585 AUC: 0.6479 | Test RMSE: 0.3055 AUC: 0.6712 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  475 | Loss: 4.1853 | Train RMSE: 0.3604 AUC: 0.6521 | Test RMSE: 0.3078 AUC: 0.6749 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  500 | Loss: 4.0843 | Train RMSE: 0.3620 AUC: 0.6561 | Test RMSE: 0.3098 AUC: 0.6788 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  525 | Loss: 3.9965 | Train RMSE: 0.3636 AUC: 0.6599 | Test RMSE: 0.3116 AUC: 0.6814 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  550 | Loss: 3.9198 | Train RMSE: 0.3649 AUC: 0.6633 | Test RMSE: 0.3133 AUC: 0.6841 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  575 | Loss: 3.8524 | Train RMSE: 0.3661 AUC: 0.6665 | Test RMSE: 0.3147 AUC: 0.6874 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  600 | Loss: 3.7929 | Train RMSE: 0.3672 AUC: 0.6694 | Test RMSE: 0.3160 AUC: 0.6902 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  625 | Loss: 3.7402 | Train RMSE: 0.3682 AUC: 0.6721 | Test RMSE: 0.3172 AUC: 0.6913 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  650 | Loss: 3.6932 | Train RMSE: 0.3690 AUC: 0.6746 | Test RMSE: 0.3182 AUC: 0.6940 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  675 | Loss: 3.6512 | Train RMSE: 0.3698 AUC: 0.6772 | Test RMSE: 0.3192 AUC: 0.6960 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  700 | Loss: 3.6135 | Train RMSE: 0.3705 AUC: 0.6796 | Test RMSE: 0.3200 AUC: 0.6971 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  725 | Loss: 3.5794 | Train RMSE: 0.3711 AUC: 0.6817 | Test RMSE: 0.3207 AUC: 0.6974 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  750 | Loss: 3.5484 | Train RMSE: 0.3716 AUC: 0.6839 | Test RMSE: 0.3213 AUC: 0.6985 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  775 | Loss: 3.5202 | Train RMSE: 0.3720 AUC: 0.6860 | Test RMSE: 0.3219 AUC: 0.7000 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  800 | Loss: 3.4943 | Train RMSE: 0.3724 AUC: 0.6879 | Test RMSE: 0.3223 AUC: 0.7032 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  825 | Loss: 3.4705 | Train RMSE: 0.3727 AUC: 0.6897 | Test RMSE: 0.3228 AUC: 0.7065 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  850 | Loss: 3.4485 | Train RMSE: 0.3730 AUC: 0.6915 | Test RMSE: 0.3231 AUC: 0.7080 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  875 | Loss: 3.4280 | Train RMSE: 0.3732 AUC: 0.6933 | Test RMSE: 0.3234 AUC: 0.7078 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  900 | Loss: 3.4089 | Train RMSE: 0.3734 AUC: 0.6949 | Test RMSE: 0.3236 AUC: 0.7083 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  925 | Loss: 3.3910 | Train RMSE: 0.3735 AUC: 0.6964 | Test RMSE: 0.3238 AUC: 0.7087 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  950 | Loss: 3.3741 | Train RMSE: 0.3736 AUC: 0.6980 | Test RMSE: 0.3239 AUC: 0.7091 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  975 | Loss: 3.3582 | Train RMSE: 0.3737 AUC: 0.6995 | Test RMSE: 0.3240 AUC: 0.7104 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  999 | Loss: 3.3436 | Train RMSE: 0.3737 AUC: 0.7009 | Test RMSE: 0.3240 AUC: 0.7111 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch 1000 | Loss: 3.3430 | Train RMSE: 0.3737 AUC: 0.7009 | Test RMSE: 0.3240 AUC: 0.7112 | Tau (min/mean/max): 0.000/0.000/0.000
  Test RMSE: 0.3273 | Test AUC: 0.7050 | Active Dims: 0

--- Testing LAMBDA_TAU = 0.8 ---
Epoch    0 | Loss: 22.0127 | Train RMSE: 0.3911 AUC: 0.5650 | Test RMSE: 0.3366 AUC: 0.6323 | Tau (min/mean/max): 0.198/0.200/0.202
Epoch   25 | Loss: 12.7770 | Train RMSE: 0.3192 AUC: 0.6078 | Test RMSE: 0.2513 AUC: 0.6375 | Tau (min/mean/max): 0.227/0.247/0.253
Epoch   50 | Loss: 9.0818 | Train RMSE: 0.3157 AUC: 0.6168 | Test RMSE: 0.2489 AUC: 0.6404 | Tau (min/mean/max): 0.280/0.294/0.298
Epoch   75 | Loss: 8.3267 | Train RMSE: 0.3177 AUC: 0.6251 | Test RMSE: 0.2520 AUC: 0.6476 | Tau (min/mean/max): 0.281/0.289/0.295
Epoch  100 | Loss: 8.3102 | Train RMSE: 0.3180 AUC: 0.6313 | Test RMSE: 0.2527 AUC: 0.6556 | Tau (min/mean/max): 0.230/0.243/0.249
Epoch  125 | Loss: 8.3384 | Train RMSE: 0.3186 AUC: 0.6393 | Test RMSE: 0.2536 AUC: 0.6652 | Tau (min/mean/max): 0.171/0.189/0.196
Epoch  150 | Loss: 8.3562 | Train RMSE: 0.3196 AUC: 0.6445 | Test RMSE: 0.2552 AUC: 0.6720 | Tau (min/mean/max): 0.105/0.131/0.140
Epoch  175 | Loss: 8.1846 | Train RMSE: 0.3212 AUC: 0.6403 | Test RMSE: 0.2574 AUC: 0.6564 | Tau (min/mean/max): 0.033/0.066/0.079
