n_samples,model_type,rmse_mean,rmse_rasch,rmse_amortized,auc_mean,auc_rasch,auc_amortized,active_dims,active_indices,embedding_type
1,beta,0.27984300318308936,0.2721521548853246,0.24629600478816396,0.5,0.581043956043956,0.6552197802197802,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
2,beta,0.2764746521045646,0.2719462739760392,0.24666939122691792,0.5,0.5879120879120879,0.6607142857142857,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
3,beta,0.2762947526774855,0.27210919772549513,0.246886497845474,0.5,0.5879120879120879,0.6538461538461537,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
4,beta,0.27633917568846394,0.27208196610948937,0.24680725991141164,0.5,0.5851648351648352,0.6538461538461537,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
5,beta,0.2768770508873202,0.2721059256944801,0.24683101660617665,0.5,0.598901098901099,0.6538461538461537,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
6,beta,0.2772184276851999,0.2720543483588184,0.24685305817793804,0.5,0.6016483516483516,0.6538461538461537,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
7,beta,0.277321948954196,0.27211711067552813,0.2467831386403561,0.5,0.603021978021978,0.6483516483516484,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
8,beta,0.27736358840266717,0.27205582721869015,0.24690410617476546,0.5,0.6085164835164836,0.6483516483516484,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
9,beta,0.27732447436334556,0.27190895635838286,0.24688880646403266,0.5,0.6126373626373627,0.6483516483516484,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
10,beta,0.2774499501809704,0.27180155057906913,0.24699048497959966,0.5,0.6071428571428572,0.6497252747252746,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
11,beta,0.27752496950688704,0.2718628502465836,0.2469804547618311,0.5,0.5975274725274725,0.6524725274725275,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
12,beta,0.2775810462289033,0.27186798875910373,0.24698780778087384,0.5,0.5989010989010989,0.6524725274725275,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
13,beta,0.2776243509656867,0.2718236025097282,0.24699335822256752,0.5,0.5934065934065934,0.6524725274725275,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",raw
