seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_rasch,rmse_rasch
0,beta,54,none,1.0,1.0,raw,54,20,0.5996241954759471,0.2897992539503829
2,beta,54,none,1.0,1.0,raw,54,50,0.6279682750759878,0.2434427663431785
10,beta,54,none,1.0,1.0,raw,54,10,0.5443998811645869,0.2819676250852603
6,beta,54,none,1.0,1.0,raw,54,20,0.6008714811891608,0.2769866175233411
8,beta,54,none,1.0,1.0,raw,54,10,0.5986706122024119,0.2725429616536821
12,beta,54,none,1.0,1.0,raw,54,50,0.5787281399046105,0.2622171893718359
4,beta,54,none,1.0,1.0,raw,54,50,0.569220712518093,0.2678962264611476
14,beta,54,none,1.0,1.0,raw,54,20,0.5706202867497511,0.2767156150162104
3,beta,54,none,1.0,1.0,raw,54,50,0.5612718155671671,0.2710188297666162
1,beta,54,none,1.0,1.0,raw,54,50,0.5667067733031355,0.2912503006733009
5,beta,54,none,1.0,1.0,raw,54,20,0.6162937793271847,0.2700660210264915
11,beta,54,none,1.0,1.0,raw,54,50,0.6371996004465598,0.2622490108705891
16,beta,54,none,1.0,1.0,raw,54,5,0.5968014345586855,0.2800805361762331
13,beta,54,none,1.0,1.0,raw,54,5,0.6561888082958715,0.253360955030212
9,beta,54,none,1.0,1.0,raw,54,50,0.6115456081081081,0.2608368805231771
7,beta,54,none,1.0,1.0,raw,54,50,0.5320920061294854,0.2660127222292093
18,beta,54,none,1.0,1.0,raw,54,20,0.6160428506107518,0.2567094411572728
15,beta,54,none,1.0,1.0,raw,54,50,0.5856635965574513,0.2722401972407928
20,beta,54,none,1.0,1.0,raw,54,50,0.590748565788662,0.2614095626548193
17,beta,54,none,1.0,1.0,raw,54,20,0.592870571539345,0.2691293013672348
19,beta,54,none,1.0,1.0,raw,54,50,0.6198309928727682,0.259527958154902
22,beta,54,none,1.0,1.0,raw,54,20,0.4992733438294779,0.3043879112035343
21,beta,54,none,1.0,1.0,raw,54,20,0.6024094310539323,0.2573484232049147
28,beta,54,none,1.0,1.0,raw,54,20,0.5680390305319484,0.3066258275051591
24,beta,54,none,1.0,1.0,raw,54,10,0.5853658536585366,0.2992561615745379
26,beta,54,none,1.0,1.0,raw,54,20,0.571282575370465,0.2771889160360918
32,beta,54,none,1.0,1.0,raw,54,50,0.5480385247827109,0.2502225540899126
30,beta,54,none,1.0,1.0,raw,54,20,0.5473818998144111,0.2551357724066276
23,beta,54,none,1.0,1.0,raw,54,50,0.5885887177722333,0.278849730655259
34,beta,54,none,1.0,1.0,raw,54,50,0.5232534264154818,0.2592071466912895
36,beta,54,none,1.0,1.0,raw,54,5,0.5660641416596691,0.2676908993270259
27,beta,54,none,1.0,1.0,raw,54,50,0.6090000593965312,0.2614250385443447
33,beta,54,none,1.0,1.0,raw,54,20,0.5130968954975386,0.3089422720521843
29,beta,54,none,1.0,1.0,raw,54,50,0.5079938726036972,0.3002976331891294
38,beta,54,none,1.0,1.0,raw,54,50,0.5620147172676092,0.2885895804045655
25,beta,54,none,1.0,1.0,raw,54,20,0.5863483501481703,0.2913546795250083
31,beta,54,none,1.0,1.0,raw,54,50,0.4803135385059962,0.2570378485299328
37,beta,54,none,1.0,1.0,raw,54,50,0.5907808022405566,0.2698795859612881
35,beta,54,none,1.0,1.0,raw,54,20,0.5485514803227645,0.2774165554927795
40,beta,54,none,1.0,1.0,raw,54,50,0.4754072681704261,0.2852295559235971
42,beta,54,none,1.0,1.0,raw,54,50,0.6170359040909652,0.2541909309176297
39,beta,54,none,1.0,1.0,raw,54,50,0.5228054186171754,0.2995653346393385
44,beta,54,none,1.0,1.0,raw,54,20,0.5656915598762704,0.2465950764141924
46,beta,54,none,1.0,1.0,raw,54,50,0.5133158331650625,0.2735820388248186
43,beta,54,none,1.0,1.0,raw,54,20,0.588417188684515,0.2880869719923163
48,beta,54,none,1.0,1.0,raw,54,50,0.5630374877475911,0.2531227788709983
41,beta,54,none,1.0,1.0,raw,54,5,0.4997561631020035,0.2565149106763202
47,beta,54,none,1.0,1.0,raw,54,20,0.530221503945242,0.24707007879314
45,beta,54,none,1.0,1.0,raw,54,50,0.6330403128993531,0.2868059202517227
49,beta,54,none,1.0,1.0,raw,54,50,0.5419731016119421,0.25985959870066927
