seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
0,bernoulli,32,none,1.0,pca,32,0.5742567077592459,0.3729809807704504
1,bernoulli,32,none,1.0,pca,32,0.5803524665581429,0.3833668062723165
10,bernoulli,32,none,1.0,pca,32,0.5911764705882353,0.3691246594402578
11,bernoulli,32,none,1.0,pca,32,0.6248310711557671,0.3538270074241745
12,bernoulli,32,none,1.0,pca,32,0.5879491255961845,0.3504705744001546
13,bernoulli,32,none,1.0,pca,32,0.5908946744256599,0.3599657510651897
14,bernoulli,32,none,1.0,pca,32,0.6306234672782209,0.3499251489982225
15,bernoulli,32,none,1.0,pca,32,0.5868564094821078,0.3584234660293865
16,bernoulli,32,none,1.0,pca,32,0.5487673498891414,0.3748209645134656
17,bernoulli,32,none,1.0,pca,32,0.5413259259259259,0.3634411859694419
18,bernoulli,32,none,1.0,pca,32,0.6001453393428702,0.3480786211668073
19,bernoulli,32,none,1.0,pca,32,0.5925128784136617,0.3486718334939031
2,bernoulli,32,none,1.0,pca,32,0.540772226443769,0.3363782962678675
20,bernoulli,32,none,1.0,pca,32,0.5669452840663747,0.3524918775603399
21,bernoulli,32,none,1.0,pca,32,0.6347274966200797,0.3368699418079211
22,bernoulli,32,none,1.0,pca,32,0.5655807193896087,0.3843199574207144
23,bernoulli,32,none,1.0,pca,32,0.5389672775244486,0.3786589611913779
24,bernoulli,32,none,1.0,pca,32,0.5337577714012434,0.4055937271229844
25,bernoulli,32,none,1.0,pca,32,0.5610295341790698,0.3838319244911045
26,bernoulli,32,none,1.0,pca,32,0.5654600220530888,0.3747949635733691
27,bernoulli,32,none,1.0,pca,32,0.5243971252078878,0.3573605635957114
28,bernoulli,32,none,1.0,pca,32,0.5566761095372994,0.4000958171464226
29,bernoulli,32,none,1.0,pca,32,0.6099287615818201,0.3741382990231304
3,bernoulli,32,none,1.0,pca,32,0.6168666897559065,0.3555136641748119
30,bernoulli,32,none,1.0,pca,32,0.574223403651806,0.3496295560840662
31,bernoulli,32,none,1.0,pca,32,0.5691735298367289,0.3264643676827372
32,bernoulli,32,none,1.0,pca,32,0.4933806503573945,0.3349759290359884
33,bernoulli,32,none,1.0,pca,32,0.6176089211618258,0.3807783969964805
34,bernoulli,32,none,1.0,pca,32,0.5002031606611799,0.3388540501755097
35,bernoulli,32,none,1.0,pca,32,0.6162254912837353,0.3699120025767545
36,bernoulli,32,none,1.0,pca,32,0.552393158615813,0.3678465063082405
37,bernoulli,32,none,1.0,pca,32,0.5553823166374326,0.3727186866453796
38,bernoulli,32,none,1.0,pca,32,0.5852519148232501,0.3717671758946214
39,bernoulli,32,none,1.0,pca,32,0.5847798168938233,0.3788369695504605
4,bernoulli,32,none,1.0,pca,32,0.549423355278517,0.3690853985846152
40,bernoulli,32,none,1.0,pca,32,0.6044277360066833,0.3492187790155932
41,bernoulli,32,none,1.0,pca,32,0.580292007126009,0.3199172954674043
42,bernoulli,32,none,1.0,pca,32,0.5402067111605487,0.3543987308609715
43,bernoulli,32,none,1.0,pca,32,0.5545425527670271,0.3823021581528495
44,bernoulli,32,none,1.0,pca,32,0.5980129816123958,0.3182021495861273
45,bernoulli,32,none,1.0,pca,32,0.559273935161573,0.3797673145437885
46,bernoulli,32,none,1.0,pca,32,0.5554194407456724,0.3473497496964923
47,bernoulli,32,none,1.0,pca,32,0.5988021675064169,0.318117740413371
48,bernoulli,32,none,1.0,pca,32,0.6114553087607034,0.3417988368386778
49,bernoulli,32,none,1.0,pca,32,0.5191666666666667,0.347711151588558
5,bernoulli,32,none,1.0,pca,32,0.6134033508377094,0.364307574025671
6,bernoulli,32,none,1.0,pca,32,0.5822908445146013,0.3767077976883042
7,bernoulli,32,none,1.0,pca,32,0.5930436725833227,0.3406636224950978
8,bernoulli,32,none,1.0,pca,32,0.5919418876117117,0.3675992767053426
9,bernoulli,32,none,1.0,pca,32,0.6058361486486487,0.3577241297044324
