seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
7,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.522272759996709,0.4487440669642469,28,2,30,2
5,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5252547478926038,0.4360362669107233,6,2,30,2
1,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5191934303386083,0.4447252517298906,10,2,30,2
0,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5073782359643015,0.4520044942164008,12,2,30,2
10,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5148023540620441,0.4585119210173402,12,2,30,2
4,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5200609756097561,0.4549737081948609,17,2,30,2
8,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5246729617220023,0.4536465570011199,10,2,30,2
39,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5153215014719922,0.4551450655578254,3,2,30,2
3,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5202828932638037,0.4519972414527538,18,2,30,2
12,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5202620751341681,0.4492874424699931,18,2,30,2
2,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5240108544554584,0.4489164413267233,27,2,30,2
34,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5265234191224675,0.4418329185400912,10,2,30,2
35,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5373589225335872,0.4482327296104846,25,2,30,2
15,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5155214057219514,0.4443991144561185,27,2,30,2
42,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5173863159740176,0.451449915436743,25,2,30,2
18,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5396844660194174,0.4484501275334903,11,2,30,2
23,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5395256538572293,0.4505960827939098,29,2,30,2
19,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5158808820256432,0.4515585625288736,14,2,30,2
43,beta,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5022114903189965,0.4471297578299892,18,2,30,2
