seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_knn,rmse_knn
0,bernoulli,1,none,1.0,1.0,raw,1,50,0.7544023844149113,0.3869748279162301
2,bernoulli,1,none,1.0,1.0,raw,1,50,0.555099100810537,0.3930327596539135
4,bernoulli,1,none,1.0,1.0,raw,1,50,0.7140744891130099,0.3877608198270971
6,bernoulli,1,none,1.0,1.0,raw,1,20,0.5446428571428571,0.4154751270804718
12,bernoulli,1,none,1.0,1.0,raw,1,50,0.5873728139904612,0.3911332828965021
8,bernoulli,1,none,1.0,1.0,raw,1,10,0.6260873767639668,0.4040722430264882
14,bernoulli,1,none,1.0,1.0,raw,1,20,0.7651012328732727,0.3588637364093787
10,bernoulli,1,none,1.0,1.0,raw,1,10,0.784555109922757,0.3815464375994591
1,bernoulli,1,none,1.0,1.0,raw,1,50,0.7078667987826457,0.4012140134913172
3,bernoulli,1,none,1.0,1.0,raw,1,50,0.6379067596259543,0.401272263637142
13,bernoulli,1,none,1.0,1.0,raw,1,50,0.7396991091866847,0.3918460073499598
16,bernoulli,1,none,1.0,1.0,raw,1,5,0.7505230161874379,0.404694532090291
5,bernoulli,1,none,1.0,1.0,raw,1,20,0.6642359119191562,0.4124940459948774
9,bernoulli,1,none,1.0,1.0,raw,1,50,0.6251689189189189,0.3811618875085223
15,bernoulli,1,none,1.0,1.0,raw,1,50,0.7665785897629472,0.3744606868586032
7,bernoulli,1,none,1.0,1.0,raw,1,10,0.6550288915847273,0.3909142377047818
11,bernoulli,1,none,1.0,1.0,raw,1,50,0.7193504318702627,0.3905049330244701
18,bernoulli,1,none,1.0,1.0,raw,1,50,0.6304066956486409,0.383521105380755
17,bernoulli,1,none,1.0,1.0,raw,1,50,0.7190162778398073,0.3879432558001756
20,bernoulli,1,none,1.0,1.0,raw,1,5,0.5913654308802665,0.4330335211101382
19,bernoulli,1,none,1.0,1.0,raw,1,10,0.6399160256862607,0.3877547288233685
22,bernoulli,1,none,1.0,1.0,raw,1,50,0.7143379197510996,0.3999238247161572
24,bernoulli,1,none,1.0,1.0,raw,1,50,0.6009056671449067,0.4338875196382118
26,bernoulli,1,none,1.0,1.0,raw,1,50,0.7080879347658579,0.3965787540348289
28,bernoulli,1,none,1.0,1.0,raw,1,20,0.6481775259678942,0.4206368680189432
21,bernoulli,1,none,1.0,1.0,raw,1,50,0.6919867731213378,0.3746477896969448
30,bernoulli,1,none,1.0,1.0,raw,1,50,0.621560729712864,0.3810454476476381
32,bernoulli,1,none,1.0,1.0,raw,1,50,0.7094113896439478,0.3779825967031973
34,bernoulli,1,none,1.0,1.0,raw,1,50,0.739712289923231,0.3729719516151684
23,bernoulli,1,none,1.0,1.0,raw,1,50,0.7685121454587168,0.3840521379132952
36,bernoulli,1,none,1.0,1.0,raw,1,50,0.7417981467568243,0.386287564423162
25,bernoulli,1,none,1.0,1.0,raw,1,50,0.7948922851529984,0.3863505720477178
38,bernoulli,1,none,1.0,1.0,raw,1,50,0.5795656977924099,0.4045423969252123
29,bernoulli,1,none,1.0,1.0,raw,1,50,0.6946006038162374,0.3908722476490248
27,bernoulli,1,none,1.0,1.0,raw,1,50,0.7484111427892612,0.3808473829680057
31,bernoulli,1,none,1.0,1.0,raw,1,50,0.7145101863892501,0.367304965770356
35,bernoulli,1,none,1.0,1.0,raw,1,20,0.7373508768037158,0.3847984842124337
33,bernoulli,1,none,1.0,1.0,raw,1,20,0.5919634624250807,0.4108025862418763
37,bernoulli,1,none,1.0,1.0,raw,1,50,0.7055732403617806,0.398053152167752
40,bernoulli,1,none,1.0,1.0,raw,1,50,0.712075327206906,0.3710651989042422
39,bernoulli,1,none,1.0,1.0,raw,1,50,0.6420591849979977,0.4041304867894388
42,bernoulli,1,none,1.0,1.0,raw,1,10,0.584828049684835,0.4078313969293468
44,bernoulli,1,none,1.0,1.0,raw,1,20,0.596271773906861,0.385457167774209
46,bernoulli,1,none,1.0,1.0,raw,1,20,0.5531669344436649,0.4082426207203127
48,bernoulli,1,none,1.0,1.0,raw,1,50,0.6663553475985279,0.3733801027504188
41,bernoulli,1,none,1.0,1.0,raw,1,50,0.6964778008897559,0.36759485820826
43,bernoulli,1,none,1.0,1.0,raw,1,50,0.7518187500831238,0.3956373779566178
47,bernoulli,1,none,1.0,1.0,raw,1,20,0.7497813480368856,0.3617025960853859
45,bernoulli,1,none,1.0,1.0,raw,1,50,0.6803095053095053,0.4102630294588109
49,bernoulli,1,none,1.0,1.0,raw,1,50,0.7309166666666665,0.3801248754935796
