seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5103415938998893,0.4513468217402507,30,2,30,2
2,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5118982344555323,0.4418847688892727,3,2,30,2
0,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.508968307484828,0.4560239074906418,5,2,30,2
6,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.4949306784024392,0.4511609427048238,23,2,30,2
1,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.5116229196630369,0.4524712285753051,24,2,30,2
4,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5118034856764365,0.4559469973991429,11,2,30,2
5,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5157899555704057,0.4436752773556815,20,2,30,2
11,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5383104807131377,0.4547599367730644,8,2,30,2
9,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5023814597438021,0.4451434165789126,7,2,30,2
7,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5086968056062979,0.4472332405460039,19,2,30,2
10,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.4885380555295293,0.4488970226397727,2,2,30,2
16,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5057900299847681,0.4433463174518798,4,2,30,2
45,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.4933643712422067,0.4458605088065293,29,2,30,2
34,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5086329081694513,0.4525335661414807,29,2,30,2
8,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5141740033705253,0.4485133562161862,17,2,30,2
46,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5150134516697304,0.4485222101782964,6,2,30,2
42,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.4981972736008864,0.453030033683315,15,2,30,2
47,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5077120898090032,0.4397280362983805,13,2,30,2
14,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5198066707960283,0.4466980743960637,29,2,30,2
30,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5202090361069466,0.4616379346008973,29,2,30,2
26,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.5099197513473231,0.4502475402061631,15,2,30,2
18,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.4954966985911303,0.4518779992232239,16,2,30,2
27,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.505327138545786,0.4601699451422775,11,2,30,2
22,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5138924620529972,0.4491152436799633,17,2,30,2
19,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5015068747933429,0.4462566238734494,12,2,30,2
38,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.524796516814216,0.4438727343433495,17,2,30,2
15,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5034083183126206,0.450270375512478,17,2,30,2
31,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5154269582154744,0.443045954897562,12,2,30,2
23,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.525783977252737,0.4406089840676919,6,2,30,2
39,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5119701090197762,0.4439219296192754,19,2,30,2
43,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5113859704013215,0.4495344959681494,14,2,30,2
28,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.5290452629032595,0.4560476951961622,21,2,30,2
35,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5189861418951971,0.4540663182517472,21,2,30,2
12,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5203085167175956,0.4427029964648926,28,2,30,2
25,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.5037101689221615,0.4439621411552131,27,2,30,2
44,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.498660187775086,0.4453334970710695,7,2,30,2
24,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5226086779550635,0.4455988950158789,21,2,30,2
48,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5188683825286807,0.4522684485920142,30,2,30,2
32,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.5045255194533538,0.453058336550074,22,2,30,2
40,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.509212488528602,0.4444588795029731,30,2,30,2
20,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5020872039698032,0.4373437738776328,28,2,30,2
17,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.4932695473251028,0.4603001018338419,8,2,30,2
36,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.4997985637342908,0.4626024210134667,18,2,30,2
29,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5223677324306255,0.4500509431931455,18,2,30,2
49,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5090793678011205,0.4597978079915323,16,2,30,2
21,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,20,2,0.5252626773423233,0.445870936076576,20,2,30,2
13,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5095925305933612,0.4585024962216881,3,2,30,2
33,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5032573065812466,0.4461477878262625,22,2,30,2
41,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5190945554515135,0.4518450219484511,15,2,30,2
37,beta,1,8,1.0,1.0,raw,transport_binary_strength,1,8,8.0,50,2,0.5122943310727816,0.45206000697111576,4,2,30,2
