seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_rasch,rmse_rasch
3,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5136545320378797,0.4690351095976731
2,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4926807559988472,0.4631702849864612
1,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4383359872611465,0.4748838125728097
6,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5444546317469906,0.4658807359449283
0,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5028981588288248,0.4696244983462268
4,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5180258872881823,0.469015348353096
7,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4284770498898534,0.4775796260651023
45,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5048318879993756,0.4678870841526251
10,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.554624417713521,0.4657380773223294
30,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5418946776611694,0.4724250417117153
15,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5215912864054645,0.4657676715016927
47,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.547761266083571,0.464899043793576
34,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5054805523897281,0.4687384603987315
35,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5101683054072588,0.471002143442942
14,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5234555248981737,0.4610661472601876
26,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4345367718355822,0.4697329229293015
27,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5113983721362041,0.4714942867877487
38,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5157581281351045,0.4608621374041963
23,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5367091249246674,0.4607151270961154
22,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4803028006949755,0.4678420651610441
31,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5407743846487132,0.4653127051840407
39,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5526106896633984,0.4604249302595737
46,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5146627987132353,0.4679062242721298
43,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5457729870846412,0.4638965155716306
9,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5052545540889387,0.4639435394091351
19,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5166255648627797,0.4608668741979554
18,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4898252778543785,0.4778025393698378
11,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5800750401108746,0.4611984419501092
42,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5674808931906656,0.4687930405248279
28,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5636718252527015,0.4661079174654635
5,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4856616014273594,0.4667619189337869
24,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5694718061434929,0.4649409024308569
8,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.533565420153417,0.4653331200185649
25,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5851201830789903,0.454435705487524
16,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4992505404602774,0.4707519854120331
12,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5144892672727958,0.4629220428749759
32,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4992888021196485,0.4702841132332416
17,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5139653635116598,0.4700608362737264
20,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4966387931845441,0.4543978145176588
48,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5258495907026769,0.4579458621815563
36,beta,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5354958707360862,0.4687971409299559
