seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_rasch,rmse_rasch
3,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5804382093316519,0.4566634728007924
6,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.5103852560236639,0.4912258472037912
5,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6182745387918154,0.4649101979182347
4,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5876695707926356,0.454927771620324
8,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5902914502751724,0.4280577878332027
7,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5594909729187563,0.4209578045179654
14,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6384290212655825,0.434309737702447
10,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5976192769227806,0.4548424532107518
11,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6108277230149429,0.457052931312064
47,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6354793946693198,0.4128560357596346
26,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5826376407780414,0.4793975798897894
38,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5616441156867316,0.446115038308693
15,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.6149789798546815,0.4529511348356008
34,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5887754503315145,0.4341411571763713
46,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5922751021183623,0.4335838179266985
18,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.6139556612588125,0.4180936359394242
30,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.563125,0.4270475612949047
22,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.554740918310898,0.4806146012658303
42,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6020131273513167,0.4188698831870102
39,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5449335244997874,0.454390206430146
31,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6248527600492667,0.4232205373510393
27,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5538755730812172,0.4623706649676058
35,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6096265844467283,0.4528056367573843
19,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.6168845346927538,0.4057031765972114
43,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5720392886194158,0.4876975576206238
