seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_naive,rmse_naive
0,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4517121321181181
4,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4603768834954128
6,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4581682782203212
12,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4469586447481775
2,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4460987211040626
8,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4582782752027964
10,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4651218992599967
14,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.447103679273428
1,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4489544796022262
7,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4533927060906505
5,bernoulli,1,32,1.0,1.0,raw,32,10,0.5,0.441158866764854
3,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4531998079307095
13,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4527792104485175
9,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4520172357216339
11,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4520049557519671
15,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4511261623723801
16,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4354327954798823
18,bernoulli,1,32,1.0,1.0,raw,32,10,0.5,0.4565042571112691
20,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4385535293690207
22,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4504165105998815
24,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4526444386108886
28,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4581924749439149
30,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4628865688484272
26,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4488680922174038
17,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4559508701740758
19,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4435645817501802
32,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4502683402387082
34,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4589681906586015
21,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4483405111345705
23,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4481819960128945
25,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4473736561736106
31,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4487991197475005
29,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4444174723172904
27,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4581837590670692
33,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4427737599065858
35,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4469984830962862
38,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4380206858407527
36,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4619295791052164
42,bernoulli,1,32,1.0,1.0,raw,32,10,0.5,0.4574027059889089
40,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4462877603257295
44,bernoulli,1,32,1.0,1.0,raw,32,10,0.5,0.454761919177877
46,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4528277836465284
39,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4459875411284199
37,bernoulli,1,32,1.0,1.0,raw,32,10,0.5,0.4577019977984793
48,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4395640762986431
43,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4536117208759912
47,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4474647778230111
41,bernoulli,1,32,1.0,1.0,raw,32,20,0.5,0.4602422319789626
45,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.4563921837498476
49,bernoulli,1,32,1.0,1.0,raw,32,50,0.5,0.45476557267815715
