seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6608615176485058,0.4313727190415579,7,2,30,2
2,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6250245462451258,0.4248906892560335,7,2,30,2
1,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6261050184918842,0.4419179836393602,29,2,30,2
5,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6585226282961759,0.4179733668277343,23,2,30,2
0,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6363209436216203,0.4439526927785991,28,2,30,2
4,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6187034277198212,0.4429042345325603,26,2,30,2
8,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6118538615760111,0.4371033812138364,18,2,30,2
6,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.5860339273129971,0.4458429289465531,19,2,30,2
7,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6655620562905331,0.420344260054578,4,2,30,2
31,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6768073395704526,0.4180087667542903,11,2,30,2
18,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6267657347532541,0.4387793737887175,18,2,30,2
10,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6252159174720779,0.432574440112135,20,2,30,2
47,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6486646142846053,0.4228848979399361,15,2,30,2
15,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6232284782173313,0.4404124829638841,25,2,30,2
19,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.63312713545685,0.4322001770212463,29,2,30,2
38,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6274071020158885,0.4276357214742471,19,2,30,2
34,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6408139140134339,0.4348017729806416,15,2,30,2
39,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6401446837949378,0.4212396393755487,8,2,30,2
27,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6093951352534774,0.4528009472696805,7,2,30,2
14,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.583793757155996,0.4414974051007214,15,2,30,2
46,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6594034830729167,0.4321517334851752,17,2,30,2
43,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6146005120389715,0.440898417464981,29,2,30,2
35,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6569013174678591,0.4322115371926383,19,2,30,2
36,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6106836624775583,0.4532213766272707,19,2,30,2
11,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6238151424534328,0.443960882502087,8,2,30,2
22,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6110501813209469,0.4409139470353164,21,2,30,2
42,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6385567866981722,0.43900622214207,21,2,30,2
30,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6069348138430785,0.4541499450504228,21,2,30,2
23,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6362411097517988,0.4305529634934338,28,2,30,2
26,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6164821882106697,0.4401174990950071,20,2,30,2
9,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6484684745019725,0.4320421552057797,24,2,30,2
24,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6315478128731141,0.4357271377378838,28,2,30,2
20,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6492005420850874,0.4238362816935445,27,2,30,2
13,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6324011242980012,0.4422123056200562,27,2,30,2
16,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6350534393071889,0.4321997460528717,20,2,30,2
33,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.609757439913619,0.4356073243483455,22,2,30,2
40,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6421615300295707,0.4249378214959882,12,2,30,2
32,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6159935852740204,0.4429687257796992,18,2,30,2
12,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6162795949862612,0.4321204922821396,19,2,30,2
28,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6206663733278169,0.4451241680567058,27,2,30,2
48,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.5983127688814531,0.4480098546106573,24,2,30,2
44,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6170788468754385,0.4344035825313367,20,2,30,2
21,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6391199606686332,0.4337259726781535,21,2,30,2
29,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6419208557573337,0.4352036565027479,26,2,30,2
25,beta,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6083642264132835,0.438345857777936,25,2,30,2
49,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6200432633491504,0.4483461114091771,24,2,30,2
45,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6425399455485815,0.4273585057195545,26,2,30,2
17,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6256844993141288,0.4477279971747969,22,2,30,2
41,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6240229403272888,0.4401297552430963,28,2,30,2
37,beta,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.634115752639891,0.4386849704598307,27,2,30,2
