seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_2pl,rmse_2pl
2,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5050928676900006,0.4647144169762227
1,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5399527429628108,0.4804398752855757
4,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5123896064469835,0.4775495157482403
0,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5536739562760353,0.4764381778086194
3,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4977001598819334,0.4768729683819012
15,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4813795865878211,0.4727337355980546
30,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5267725512243878,0.4806201665211121
6,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4824527908414951,0.4813233505430784
8,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5313919519022161,0.4753534739764117
11,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.511450935018649,0.4736376575340139
35,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5399500069044771,0.4760476598911887
48,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5091770733747609,0.4682183906947411
5,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4941075644460986,0.4661570037980956
20,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4807532601538063,0.4625391047931707
43,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4842428585366182,0.482493854666399
23,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4803315904556208,0.4737984751004534
31,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.512310320570797,0.4696780395824084
14,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4974296600784578,0.4626866305604727
46,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4940900615617341,0.4752481188990224
18,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4923356499484106,0.4820854311127823
39,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5293208330351392,0.469090481126214
22,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5414356248964761,0.4737198897080735
47,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5655336813119066,0.465155040469021
26,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5065756496827176,0.4739395721271526
7,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5418757107498829,0.4737620698402851
34,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4713863090763598,0.4833466164912171
10,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.471819917020423,0.4777394129938964
19,bernoulli,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5218043921525406,0.465503945071695
