seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,16,1.0,pca,16,0.7164535379369139,0.4295820627030316
1,beta,1,16,1.0,pca,16,0.707125946969697,0.4271428272243431
10,beta,1,16,1.0,pca,16,0.7102352775429699,0.4145943806324944
11,beta,1,16,1.0,pca,16,0.6682152535811072,0.4228768286083353
12,beta,1,16,1.0,pca,16,0.6310616760828626,0.4389941382896615
13,beta,1,16,1.0,pca,16,0.6376746987951807,0.436687344836192
14,beta,1,16,1.0,pca,16,0.7194845216416865,0.3956708595549971
15,beta,1,16,1.0,pca,16,0.7168556995806329,0.4133258060024993
16,beta,1,16,1.0,pca,16,0.7099550997635431,0.4170971097427152
17,beta,1,16,1.0,pca,16,0.6909879518072289,0.4291438565010143
18,beta,1,16,1.0,pca,16,0.6857181313168392,0.4282568088252996
19,beta,1,16,1.0,pca,16,0.7274801295260525,0.3999675283066869
2,beta,1,16,1.0,pca,16,0.6820501219113692,0.421248535980035
20,beta,1,16,1.0,pca,16,0.6699838622915547,0.4215046882153722
21,beta,1,16,1.0,pca,16,0.6929759036144578,0.420381126331944
22,beta,1,16,1.0,pca,16,0.7070795021825949,0.409437457991161
23,beta,1,16,1.0,pca,16,0.6863776861937003,0.4125877966069541
24,beta,1,16,1.0,pca,16,0.6704857381549111,0.4265977048494269
25,beta,1,16,1.0,pca,16,0.6671149363457055,0.4281466165361914
26,beta,1,16,1.0,pca,16,0.6586577678902484,0.4323277937106009
27,beta,1,16,1.0,pca,16,0.6102522086064406,0.4582846807175212
28,beta,1,16,1.0,pca,16,0.7067312290769966,0.4197004932315228
29,beta,1,16,1.0,pca,16,0.6594518959257765,0.4231886368176953
3,beta,1,16,1.0,pca,16,0.6790164457079093,0.4137223664071018
30,beta,1,16,1.0,pca,16,0.7062803608605135,0.4120331824860951
31,beta,1,16,1.0,pca,16,0.6387073863636363,0.4522338852359945
32,beta,1,16,1.0,pca,16,0.6260341905901116,0.43776216485807
33,beta,1,16,1.0,pca,16,0.7447804262954969,0.4051997657824627
34,beta,1,16,1.0,pca,16,0.6853798193154345,0.4284935576078126
35,beta,1,16,1.0,pca,16,0.7113113038277512,0.3972174346112159
36,beta,1,16,1.0,pca,16,0.6665158371040725,0.4400791879671906
37,beta,1,16,1.0,pca,16,0.7314160660339208,0.4044256327796103
38,beta,1,16,1.0,pca,16,0.7054620514449033,0.4038158817394681
39,beta,1,16,1.0,pca,16,0.6570454268663988,0.4295602089731859
4,beta,1,16,1.0,pca,16,0.6325596144089295,0.4284162442633705
40,beta,1,16,1.0,pca,16,0.7080498027613411,0.409618170056459
41,beta,1,16,1.0,pca,16,0.7261451538592109,0.4130772619035326
42,beta,1,16,1.0,pca,16,0.7080799083852908,0.4159839421059287
43,beta,1,16,1.0,pca,16,0.69249267578125,0.4148875779098314
44,beta,1,16,1.0,pca,16,0.6831960854517245,0.4215816784986019
45,beta,1,16,1.0,pca,16,0.6618852459016393,0.4422379313310673
46,beta,1,16,1.0,pca,16,0.711580416032471,0.4134553380392081
47,beta,1,16,1.0,pca,16,0.6989889705882353,0.4128393785619036
48,beta,1,16,1.0,pca,16,0.6180794309425015,0.449941650554824
49,beta,1,16,1.0,pca,16,0.7178254166360766,0.4099975642271493
5,beta,1,16,1.0,pca,16,0.6174266752301435,0.441743249446539
6,beta,1,16,1.0,pca,16,0.7009984299872436,0.4205090166173014
7,beta,1,16,1.0,pca,16,0.6587903390522876,0.4212795753454208
8,beta,1,16,1.0,pca,16,0.706065188172043,0.4253672065278752
9,beta,1,16,1.0,pca,16,0.6443783601277824,0.4364557064344551
