seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_rasch,rmse_rasch
0,bernoulli,1,32,1.0,1.0,raw,32,50,0.5856781064938527,0.511118587868824
4,bernoulli,1,32,1.0,1.0,raw,32,50,0.5930578738882384,0.4779576376414773
6,bernoulli,1,32,1.0,1.0,raw,32,20,0.5887547410174007,0.4725694970837757
12,bernoulli,1,32,1.0,1.0,raw,32,50,0.5903469958081043,0.4601353114339879
2,bernoulli,1,32,1.0,1.0,raw,32,50,0.556077492247705,0.4673221298466353
8,bernoulli,1,32,1.0,1.0,raw,32,50,0.5988074247045367,0.625813812665935
10,bernoulli,1,32,1.0,1.0,raw,32,50,0.6390667013617833,0.5239067820777547
14,bernoulli,1,32,1.0,1.0,raw,32,50,0.5724102564102564,0.5547404734071587
1,bernoulli,1,32,1.0,1.0,raw,32,50,0.5588533425632911,0.5504840292367967
7,bernoulli,1,32,1.0,1.0,raw,32,50,0.5905597326649958,0.4454719358428638
5,bernoulli,1,32,1.0,1.0,raw,32,10,0.6146577978261146,0.4408368683470754
3,bernoulli,1,32,1.0,1.0,raw,32,50,0.5581371483761922,0.4703802528878756
13,bernoulli,1,32,1.0,1.0,raw,32,20,0.6265239921776622,0.4655812287718618
9,bernoulli,1,32,1.0,1.0,raw,32,50,0.619126872359493,0.6115480703718756
11,bernoulli,1,32,1.0,1.0,raw,32,50,0.6279827598224866,0.5934369366137425
15,bernoulli,1,32,1.0,1.0,raw,32,50,0.5840220385674931,0.4712779227567373
16,bernoulli,1,32,1.0,1.0,raw,32,20,0.6153651313225782,0.4449845327678891
18,bernoulli,1,32,1.0,1.0,raw,32,10,0.620048386626636,0.4467143029935273
20,bernoulli,1,32,1.0,1.0,raw,32,50,0.6143294533389083,0.5274355208053186
22,bernoulli,1,32,1.0,1.0,raw,32,20,0.6032838983050848,0.4752660690041171
24,bernoulli,1,32,1.0,1.0,raw,32,50,0.6257676949302946,0.4507081592349412
28,bernoulli,1,32,1.0,1.0,raw,32,50,0.6063503717688739,0.5549594051532986
30,bernoulli,1,32,1.0,1.0,raw,32,20,0.5899020066525242,0.5372509024298727
26,bernoulli,1,32,1.0,1.0,raw,32,50,0.614957928174786,0.4788948736037494
17,bernoulli,1,32,1.0,1.0,raw,32,50,0.5824646682869745,0.5446543156314096
19,bernoulli,1,32,1.0,1.0,raw,32,50,0.6242467718794836,0.4260229072389116
32,bernoulli,1,32,1.0,1.0,raw,32,50,0.5923857401219997,0.4933348860292014
34,bernoulli,1,32,1.0,1.0,raw,32,50,0.5898260256259551,0.4523608901181083
21,bernoulli,1,32,1.0,1.0,raw,32,50,0.5715865118850193,0.5161945491964856
23,bernoulli,1,32,1.0,1.0,raw,32,50,0.5805940118321872,0.5816534467504677
25,bernoulli,1,32,1.0,1.0,raw,32,50,0.5997967479674796,0.4464507363130365
31,bernoulli,1,32,1.0,1.0,raw,32,20,0.6138270311180974,0.5664449744305419
29,bernoulli,1,32,1.0,1.0,raw,32,20,0.5828080055711993,0.5861014327560405
27,bernoulli,1,32,1.0,1.0,raw,32,20,0.5908676609848484,0.502716967585886
33,bernoulli,1,32,1.0,1.0,raw,32,50,0.5868319362701385,0.4902990989968931
35,bernoulli,1,32,1.0,1.0,raw,32,50,0.6080552506830442,0.4390724907278005
38,bernoulli,1,32,1.0,1.0,raw,32,50,0.5728626692456479,0.4719115767292302
36,bernoulli,1,32,1.0,1.0,raw,32,50,0.6033242357121568,0.6749546751063751
42,bernoulli,1,32,1.0,1.0,raw,32,10,0.6080040496679868,0.5375161589921491
40,bernoulli,1,32,1.0,1.0,raw,32,20,0.6510373443983403,0.4481544990619726
44,bernoulli,1,32,1.0,1.0,raw,32,10,0.5623108986504213,0.47867967557209
46,bernoulli,1,32,1.0,1.0,raw,32,50,0.593099441822581,0.5316904990565781
39,bernoulli,1,32,1.0,1.0,raw,32,50,0.5929010692718241,0.5039167181302757
37,bernoulli,1,32,1.0,1.0,raw,32,10,0.5973079727758872,0.5424544828630702
48,bernoulli,1,32,1.0,1.0,raw,32,50,0.5865186589924929,0.4639238343033163
43,bernoulli,1,32,1.0,1.0,raw,32,50,0.5745209027894371,0.5933322691863229
47,bernoulli,1,32,1.0,1.0,raw,32,20,0.6142019543973941,0.5791821222735879
41,bernoulli,1,32,1.0,1.0,raw,32,20,0.6758782338636431,0.4503427127653865
45,bernoulli,1,32,1.0,1.0,raw,32,50,0.6163140195815849,0.5116791746255046
49,bernoulli,1,32,1.0,1.0,raw,32,50,0.5914573654665118,0.5087988737189075
