seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,1.0,raw,max,50,0.6201587535212955,0.4455130276171976,30,30,30,2
2,beta,1,max,1.0,1.0,raw,max,50,0.6225555765243538,0.4300120601792522,30,30,30,2
4,beta,1,max,1.0,1.0,raw,max,50,0.6514709940939449,0.4438873877541059,30,30,30,2
6,beta,1,max,1.0,1.0,raw,max,10,0.608589334253786,0.4422835350217478,30,30,30,2
10,beta,1,max,1.0,1.0,raw,max,20,0.6281036259720791,0.4331856946818135,30,30,30,2
8,beta,1,max,1.0,1.0,raw,max,50,0.6087993229893073,0.4378193643319086,30,30,30,2
12,beta,1,max,1.0,1.0,raw,max,50,0.6045901100818856,0.43212873383427,30,30,30,2
14,beta,1,max,1.0,1.0,raw,max,50,0.5817579818683485,0.4405211799814456,30,30,30,2
1,beta,1,max,1.0,1.0,raw,max,20,0.6273214377439902,0.4406747242081004,30,30,30,2
3,beta,1,max,1.0,1.0,raw,max,50,0.62524689460091,0.4381027157241111,30,30,30,2
16,beta,1,max,1.0,1.0,raw,max,20,0.6207447335059826,0.4338028377868831,30,30,30,2
5,beta,1,max,1.0,1.0,raw,max,10,0.6581352887983083,0.4207718519428378,30,30,30,2
9,beta,1,max,1.0,1.0,raw,max,50,0.651024061175783,0.4306102381696583,30,30,30,2
13,beta,1,max,1.0,1.0,raw,max,50,0.6398334943751487,0.4416740077986098,30,30,30,2
7,beta,1,max,1.0,1.0,raw,max,50,0.6467002051991015,0.4313428896225427,30,30,30,2
11,beta,1,max,1.0,1.0,raw,max,50,0.6170630585261534,0.4447293227440537,30,30,30,2
15,beta,1,max,1.0,1.0,raw,max,50,0.6143820689582477,0.4408613065048269,30,30,30,2
18,beta,1,max,1.0,1.0,raw,max,50,0.6281687173306151,0.4395655339902595,30,30,30,2
17,beta,1,max,1.0,1.0,raw,max,50,0.6281793552812072,0.4487261683742609,30,30,30,2
20,beta,1,max,1.0,1.0,raw,max,50,0.6394259601138261,0.4223409657839935,30,30,30,2
19,beta,1,max,1.0,1.0,raw,max,20,0.6153697784635733,0.4321442337335101,30,30,30,2
22,beta,1,max,1.0,1.0,raw,max,50,0.6009522433401115,0.4412808704384043,30,30,30,2
24,beta,1,max,1.0,1.0,raw,max,10,0.6112812737436232,0.4350702902851709,30,30,30,2
26,beta,1,max,1.0,1.0,raw,max,50,0.6054337544890378,0.4408817044000623,30,30,30,2
28,beta,1,max,1.0,1.0,raw,max,50,0.626457232610745,0.4446942236814906,30,30,30,2
21,beta,1,max,1.0,1.0,raw,max,50,0.627582525635623,0.4354418983023799,30,30,30,2
30,beta,1,max,1.0,1.0,raw,max,50,0.602696308095952,0.4544813311386356,30,30,30,2
32,beta,1,max,1.0,1.0,raw,max,50,0.6055560591270395,0.4443099800324946,30,30,30,2
34,beta,1,max,1.0,1.0,raw,max,50,0.6450207934237008,0.437078545431721,30,30,30,2
23,beta,1,max,1.0,1.0,raw,max,20,0.6347438223936932,0.4307244014207322,30,30,30,2
25,beta,1,max,1.0,1.0,raw,max,50,0.6063801708417315,0.4380747902107139,30,30,30,2
36,beta,1,max,1.0,1.0,raw,max,50,0.5970377019748654,0.4533086930560455,30,30,30,2
27,beta,1,max,1.0,1.0,raw,max,50,0.5993560875842823,0.4523193168300399,30,30,30,2
29,beta,1,max,1.0,1.0,raw,max,20,0.6436379367196977,0.4344452924593421,30,30,30,2
33,beta,1,max,1.0,1.0,raw,max,50,0.6097390944274931,0.4367731562045547,30,30,30,2
40,beta,1,max,1.0,1.0,raw,max,20,0.6506589680840216,0.4290315128981075,30,30,30,2
38,beta,1,max,1.0,1.0,raw,max,50,0.6292954313255524,0.4291765643185242,30,30,30,2
31,beta,1,max,1.0,1.0,raw,max,20,0.6656633899550419,0.4246340354068181,30,30,30,2
35,beta,1,max,1.0,1.0,raw,max,20,0.6441479290079319,0.4338199609626821,30,30,30,2
37,beta,1,max,1.0,1.0,raw,max,10,0.6367150001548323,0.4395500415320317,30,30,30,2
44,beta,1,max,1.0,1.0,raw,max,50,0.6068906354777712,0.435524071750798,30,30,30,2
39,beta,1,max,1.0,1.0,raw,max,50,0.6360510746916671,0.4296994641112248,30,30,30,2
42,beta,1,max,1.0,1.0,raw,max,10,0.6343081796546368,0.4397732225860663,30,30,30,2
41,beta,1,max,1.0,1.0,raw,max,20,0.6189771802337385,0.4402741117237876,30,30,30,2
46,beta,1,max,1.0,1.0,raw,max,50,0.6551235423368567,0.4341524322370463,30,30,30,2
48,beta,1,max,1.0,1.0,raw,max,50,0.5969015146988528,0.4470744661510693,30,30,30,2
45,beta,1,max,1.0,1.0,raw,max,50,0.6237121819289729,0.4295970127888932,30,30,30,2
43,beta,1,max,1.0,1.0,raw,max,50,0.615514578980834,0.4406311352620551,30,30,30,2
47,beta,1,max,1.0,1.0,raw,max,20,0.6356115035166452,0.4295083973155835,30,30,30,2
49,beta,1,max,1.0,1.0,raw,max,50,0.6168199459867638,0.44854745879141766,30,30,30,2
