seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5420229637736269,0.4541997003645016,22,2,30,2
2,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.540828667971721,0.4411494765718605,23,2,30,2
6,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4891284163187448,0.4401814676900824,16,2,30,2
5,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5312276862131364,0.4549494385398153,26,2,30,2
0,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5043508759000167,0.4567542907897485,14,2,30,2
8,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5219028368661497,0.4442015056771802,13,2,30,2
4,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5035455855873113,0.4589648303476675,21,2,30,2
7,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5479079930778492,0.4557788349515261,24,2,30,2
10,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5309386235233693,0.4442647688326154,6,2,30,2
34,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4977783150655491,0.4505573397565939,6,2,30,2
30,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5377845836791939,0.4493159976684596,11,2,30,2
42,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5264217972959753,0.4510460880523888,30,2,30,2
26,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5277168579382724,0.4476983920994034,25,2,30,2
15,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5036146243693413,0.4305409365739203,10,2,30,2
11,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.530782023908086,0.4625984589704845,15,2,30,2
46,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5261149058187243,0.4475086501420307,8,2,30,2
1,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5063896115064606,0.4487490312889928,15,2,30,2
38,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5249316832616139,0.4641572868311445,14,2,30,2
22,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5067890504817423,0.4565399985803283,20,2,30,2
14,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.4988431753502627,0.4461045833414618,12,2,30,2
18,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4974279267679554,0.4610170845250407,12,2,30,2
27,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5146799094182928,0.4589215661760532,7,2,30,2
19,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5278530295000883,0.44703720123479,14,2,30,2
47,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5139521233156391,0.4531202809318265,29,2,30,2
31,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5037408768124827,0.4531576703888969,22,2,30,2
39,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5107866372794626,0.4397879448243338,18,2,30,2
35,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5342116735360827,0.4435584843757347,16,2,30,2
23,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5210303132938188,0.4468062427950784,23,2,30,2
43,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5216738351420422,0.4565791804186352,20,2,30,2
12,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5107387994262824,0.4509235210459376,9,2,30,2
28,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5262478330773446,0.4588687669969261,19,2,30,2
32,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4986715975787014,0.4532929799699955,27,2,30,2
20,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5055646792258812,0.4441897812131651,25,2,30,2
36,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5149522128171582,0.4585162596081521,24,2,30,2
16,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4994737729802665,0.4552284778208423,15,2,30,2
24,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5128087492056704,0.4484676218051208,20,2,30,2
9,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5394852543290043,0.4438576440138533,9,2,30,2
21,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4987429964803901,0.4424129248469406,12,2,30,2
40,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5093729683291539,0.4644284998186336,23,2,30,2
48,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5208758207867406,0.4515867596349819,11,2,30,2
44,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4993484197763096,0.4514531831516517,11,2,30,2
25,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5310390778197892,0.449600604756422,23,2,30,2
49,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5030131984612662,0.4491417030935972,13,2,30,2
33,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5501711488716439,0.4508613244244093,16,2,30,2
37,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.509509004059814,0.4598338281544236,7,2,30,2
29,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5388128625262901,0.4588110089077121,15,2,30,2
13,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5147993190372013,0.452528379904454,20,2,30,2
41,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.508962764949001,0.4530612802098341,18,2,30,2
17,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5062410047224735,0.4514676070247368,6,2,30,2
45,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.519276751492109,0.4564226450941522,18,2,30,2
