seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_2pl,rmse_2pl
3,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4975012298610257,0.4776310744309882
2,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5033115116151556,0.4635898765039573
0,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.553416212848835,0.4755375267627834
5,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.494221120615082,0.463442622186671
4,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5089260087210907,0.4755433394449636
6,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4901612230515885,0.4753651037708268
7,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5419143035037074,0.4721880083062436
11,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5116056211410841,0.47064555279053
19,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5190958062382893,0.464637838966747
27,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5207695356126383,0.4762001849076009
23,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4811345806157306,0.4711892715959175
31,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5112474622920068,0.4694197638204235
10,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.4716856818187278,0.4756549416991406
35,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5381255865879946,0.4733769620457339
42,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4855367055215886,0.4755142126496415
1,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5450386531744402,0.4758105677699856
39,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5297084854123428,0.4674405882817911
18,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4926321725470269,0.4793765983405691
26,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5065665615000814,0.4718003997190997
47,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5681904918475548,0.4625663748358379
14,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4973921204272012,0.4669507303825913
15,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.4812438731303166,0.4735054080718744
