seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_2pl,rmse_2pl
0,bernoulli,1,none,1.0,1.0,raw,1,50,0.5086463837813711,0.4767635734238173
2,bernoulli,1,none,1.0,1.0,raw,1,50,0.5781091691995948,0.430249453589155
4,bernoulli,1,none,1.0,1.0,raw,1,50,0.5214782649297286,0.4585227592928489
6,bernoulli,1,none,1.0,1.0,raw,1,20,0.5096158905551171,0.4978978850468209
12,bernoulli,1,none,1.0,1.0,raw,1,50,0.568664546899841,0.4255583293305368
8,bernoulli,1,none,1.0,1.0,raw,1,10,0.5438593882436914,0.4463966623891631
14,bernoulli,1,none,1.0,1.0,raw,1,20,0.5432510022849586,0.416652371240797
10,bernoulli,1,none,1.0,1.0,raw,1,10,0.5298276886512181,0.440967848481576
1,bernoulli,1,none,1.0,1.0,raw,1,50,0.5176162502654116,0.4682918216707215
3,bernoulli,1,none,1.0,1.0,raw,1,50,0.5185968769293319,0.4403480910948856
13,bernoulli,1,none,1.0,1.0,raw,1,50,0.4523704459582449,0.4687038239941422
16,bernoulli,1,none,1.0,1.0,raw,1,5,0.5201734815154611,0.4656204338617902
5,bernoulli,1,none,1.0,1.0,raw,1,20,0.5447464807378316,0.4496418826020039
9,bernoulli,1,none,1.0,1.0,raw,1,50,0.5999324324324324,0.4218139251015685
15,bernoulli,1,none,1.0,1.0,raw,1,50,0.5193983089234486,0.4389200155856975
7,bernoulli,1,none,1.0,1.0,raw,1,10,0.447747733367386,0.4144341402442594
11,bernoulli,1,none,1.0,1.0,raw,1,50,0.5177008049826665,0.4498714349461826
18,bernoulli,1,none,1.0,1.0,raw,1,50,0.5560963718360217,0.3981736749570116
17,bernoulli,1,none,1.0,1.0,raw,1,50,0.538424810483634,0.4473795849740228
20,bernoulli,1,none,1.0,1.0,raw,1,5,0.5229628030349762,0.4348385443805911
19,bernoulli,1,none,1.0,1.0,raw,1,10,0.592027732693529,0.4156372247776753
22,bernoulli,1,none,1.0,1.0,raw,1,50,0.5208199227550692,0.4757067235195648
24,bernoulli,1,none,1.0,1.0,raw,1,50,0.5070181731229078,0.5038917007120158
26,bernoulli,1,none,1.0,1.0,raw,1,50,0.4938926745596226,0.4717405607697293
28,bernoulli,1,none,1.0,1.0,raw,1,20,0.5455272269436575,0.4916616537221108
21,bernoulli,1,none,1.0,1.0,raw,1,50,0.5009166295445979,0.41208120674662
30,bernoulli,1,none,1.0,1.0,raw,1,50,0.4619583275927741,0.4160870056522545
32,bernoulli,1,none,1.0,1.0,raw,1,50,0.5135868653310514,0.4181958588685652
34,bernoulli,1,none,1.0,1.0,raw,1,50,0.5056495954077046,0.4097035589206022
23,bernoulli,1,none,1.0,1.0,raw,1,50,0.5394906650606556,0.4706783525588331
36,bernoulli,1,none,1.0,1.0,raw,1,50,0.5270988936521266,0.4534404248722316
25,bernoulli,1,none,1.0,1.0,raw,1,50,0.5197815736023707,0.4853055843933962
38,bernoulli,1,none,1.0,1.0,raw,1,50,0.4872144677204771,0.4354250784643974
29,bernoulli,1,none,1.0,1.0,raw,1,50,0.5055325034578146,0.452032169033874
27,bernoulli,1,none,1.0,1.0,raw,1,50,0.4765012473271561,0.4467969712912463
31,bernoulli,1,none,1.0,1.0,raw,1,50,0.4968032076289553,0.398152642241126
35,bernoulli,1,none,1.0,1.0,raw,1,20,0.5655032653634797,0.4440405230416002
33,bernoulli,1,none,1.0,1.0,raw,1,20,0.4589528584601199,0.4533509480365177
37,bernoulli,1,none,1.0,1.0,raw,1,50,0.5654013007355436,0.4519425452732436
40,bernoulli,1,none,1.0,1.0,raw,1,50,0.5331384015594542,0.4088950065900769
39,bernoulli,1,none,1.0,1.0,raw,1,50,0.4785271414170705,0.4569502049504605
42,bernoulli,1,none,1.0,1.0,raw,1,10,0.5258079965393647,0.4358381657244368
44,bernoulli,1,none,1.0,1.0,raw,1,20,0.5512708851759687,0.3903091488855446
46,bernoulli,1,none,1.0,1.0,raw,1,20,0.5254388148416345,0.4375289328408675
48,bernoulli,1,none,1.0,1.0,raw,1,50,0.5923924099794714,0.3934354009716225
41,bernoulli,1,none,1.0,1.0,raw,1,50,0.5440498820625616,0.3819056688720537
43,bernoulli,1,none,1.0,1.0,raw,1,50,0.4966085464629135,0.4812969110587518
47,bernoulli,1,none,1.0,1.0,raw,1,20,0.5141458313527902,0.3832387302978779
45,bernoulli,1,none,1.0,1.0,raw,1,50,0.545483682983683,0.4834752185608991
49,bernoulli,1,none,1.0,1.0,raw,1,50,0.5344696969696969,0.43632875065088456
