seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_2pl,rmse_2pl
2,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5275437491068296,0.4781711350416462
3,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5345822394280544,0.4755797023481961
0,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5271714190771568,0.4725826143015907
10,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.480479476512353,0.4832257819819534
1,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.557298243817715,0.463071666998016
4,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4929914725838988,0.4745060843639376
9,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5334372373213786,0.46651518873754
5,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4576604401627506,0.4714095959467202
12,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5263667262969589,0.4647580396347749
26,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5281615267561084,0.4772321967155878
11,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4414210965588083,0.4690868597802232
47,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5491184040963492,0.4684048812686387
27,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4691189513935955,0.4745531559052742
34,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5062570109115277,0.4645854809487602
35,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5417569792369921,0.4738698150081427
14,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4854726556912111,0.4822048208620283
39,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4938755537446923,0.4779445588199327
19,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4467840472664459,0.482819458994666
43,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5466894945850851,0.470921319431714
7,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4801964202457353,0.4710812296555818
23,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.498890138434425,0.4722430101506415
17,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5115146408257847,0.472611212358035
15,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4888005314346154,0.4717579652268463
42,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4009723051339694,0.4827675141052093
30,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4786032740952468,0.4794495324703717
29,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5044638747129211,0.4655006639514781
31,bernoulli,1,32,0.9,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5155024744593697,0.4675923675942937
