seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_knn,rmse_knn
0,beta,1,max,1.0,1.0,raw,max,50,0.7288634986702083,0.4115775776550956
2,beta,1,max,1.0,1.0,raw,max,50,0.7185737930260612,0.4024543425034365
4,beta,1,max,1.0,1.0,raw,max,50,0.7223912623502787,0.4120234539985526
6,beta,1,max,1.0,1.0,raw,max,10,0.7046529605499705,0.422884122726992
10,beta,1,max,1.0,1.0,raw,max,20,0.7264184486614917,0.4027762819496236
8,beta,1,max,1.0,1.0,raw,max,50,0.7302983471834806,0.4049931303666147
12,beta,1,max,1.0,1.0,raw,max,50,0.7554440402823736,0.3940900847712468
14,beta,1,max,1.0,1.0,raw,max,50,0.6643778741295494,0.4305708734631429
1,beta,1,max,1.0,1.0,raw,max,20,0.7183165964659954,0.4140221018247332
3,beta,1,max,1.0,1.0,raw,max,50,0.7238636084122494,0.4085265525571734
16,beta,1,max,1.0,1.0,raw,max,20,0.7506174179889449,0.3962136081626985
5,beta,1,max,1.0,1.0,raw,max,10,0.7616747335145873,0.3798441928561228
9,beta,1,max,1.0,1.0,raw,max,50,0.7406765988018119,0.3979072595486289
13,beta,1,max,1.0,1.0,raw,max,50,0.7446506309355521,0.4030414938377994
7,beta,1,max,1.0,1.0,raw,max,50,0.7951839673693979,0.3781628542465958
11,beta,1,max,1.0,1.0,raw,max,50,0.7300390738532591,0.4120198374018643
15,beta,1,max,1.0,1.0,raw,max,50,0.7197200876998808,0.4143025404233248
18,beta,1,max,1.0,1.0,raw,max,50,0.765941730365835,0.3981347523307765
17,beta,1,max,1.0,1.0,raw,max,50,0.7324039780521262,0.4131014304716451
20,beta,1,max,1.0,1.0,raw,max,50,0.7197851502786857,0.3975693650872578
19,beta,1,max,1.0,1.0,raw,max,20,0.7217224181637827,0.4045075498838276
22,beta,1,max,1.0,1.0,raw,max,50,0.6951742901346604,0.42095778681885
24,beta,1,max,1.0,1.0,raw,max,10,0.7074320932378161,0.4160398198645335
26,beta,1,max,1.0,1.0,raw,max,50,0.6909165012733942,0.4189031086184604
28,beta,1,max,1.0,1.0,raw,max,50,0.7269340991588632,0.4144875486065961
21,beta,1,max,1.0,1.0,raw,max,50,0.7090637730018261,0.4126035610882479
30,beta,1,max,1.0,1.0,raw,max,50,0.7016815810844578,0.4309869364708089
32,beta,1,max,1.0,1.0,raw,max,50,0.6710312369265096,0.4248485674064109
34,beta,1,max,1.0,1.0,raw,max,50,0.7387527583113073,0.4000072039015089
23,beta,1,max,1.0,1.0,raw,max,20,0.7256823744161516,0.4009906088128904
25,beta,1,max,1.0,1.0,raw,max,50,0.6684880086860543,0.4253686252926804
36,beta,1,max,1.0,1.0,raw,max,50,0.6972373429084381,0.4219190963022425
27,beta,1,max,1.0,1.0,raw,max,50,0.6602790425699961,0.435057960107344
29,beta,1,max,1.0,1.0,raw,max,20,0.7403011849552731,0.4051343012586228
33,beta,1,max,1.0,1.0,raw,max,50,0.7293320080903594,0.405775581793256
40,beta,1,max,1.0,1.0,raw,max,20,0.7377517334556949,0.397164405223354
38,beta,1,max,1.0,1.0,raw,max,50,0.7136234339930013,0.4039422474800104
31,beta,1,max,1.0,1.0,raw,max,20,0.7771053572340535,0.3789932898214263
35,beta,1,max,1.0,1.0,raw,max,20,0.7733655113174913,0.3884807289172452
37,beta,1,max,1.0,1.0,raw,max,10,0.7435422021284283,0.4027104419660283
44,beta,1,max,1.0,1.0,raw,max,50,0.6852894524692216,0.4147251512787842
39,beta,1,max,1.0,1.0,raw,max,50,0.7586866933848613,0.3836135462918348
42,beta,1,max,1.0,1.0,raw,max,10,0.736994663354972,0.4087023078439813
41,beta,1,max,1.0,1.0,raw,max,20,0.7159707130403931,0.4121018901705698
46,beta,1,max,1.0,1.0,raw,max,50,0.7340518727022061,0.4046985823538825
48,beta,1,max,1.0,1.0,raw,max,50,0.6309766371892925,0.4409518308088293
45,beta,1,max,1.0,1.0,raw,max,50,0.7459844330178512,0.3929492088601142
43,beta,1,max,1.0,1.0,raw,max,50,0.7215867152464482,0.4108398553563999
47,beta,1,max,1.0,1.0,raw,max,20,0.7787879855406878,0.3757726735744318
49,beta,1,max,1.0,1.0,raw,max,50,0.7238855235953426,0.41609146429817156
