seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_rasch,rmse_rasch
2,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4660488206458694,0.4692660352297201
3,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5141688277231451,0.4587558583293497
1,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4568797192253981,0.4618581209724839
7,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4472121624354284,0.4841330908619541
5,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5408754789329779,0.468598913639387
0,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4933493103993244,0.4651305812356284
8,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.4386033203744843,0.4757870478034084
4,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5566145020028516,0.4595918895942902
10,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5269418678750973,0.4658333798540987
47,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4906925934017916,0.4695525610430554
34,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4641678885630498,0.4774713916846549
26,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5305683772287085,0.4657630965244104
6,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5311879774398516,0.4647476513686813
11,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.6447742363877823,0.4626887722366322
31,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.513580077286389,0.457409302940222
19,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5540655810346737,0.4535091021821946
15,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.4331053351573187,0.4778504555785356
39,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4184233766233766,0.4850837690234241
23,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5561737089201877,0.4542789891954217
43,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5519100724607847,0.4638002367391636
38,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4885406333518382,0.4623730337003679
46,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5475562536129925,0.4834150985774978
44,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4990992411106357,0.4658012786111444
35,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4920241943383289,0.4714423109504717
42,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4551337275051282,0.4645804933994318
27,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5149447445269406,0.4763680514757518
18,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5203390834344043,0.4678987721389766
22,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5068980521934294,0.4779502019310508
20,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4964361624157138,0.4655249436934588
21,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4971219989417078,0.4654344283937822
14,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.515099070893305,0.4632306037481943
48,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.4967118473180693,0.4729313325778514
16,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5383464186217852,0.4556697225403096
29,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5116052946944112,0.4525412712981708
33,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5141462317932907,0.4456286395701426
32,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.467126397944008,0.4815097479422756
13,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5188296025674666,0.4722376932698369
30,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5662083968580879,0.4549504375187763
12,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5117344555670547,0.4679841938559111
49,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.482727118930807,0.4702630102536943
37,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4398868305118305,0.4767800444311255
24,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5902164740240654,0.4624019570434629
9,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4145505794903522,0.4804084553917019
45,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5240418180575815,0.4754169328317167
36,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5530557853138498,0.4705065716528771
40,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4950116900427637,0.4704206260005454
17,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4493324002942138,0.472473944823604
41,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5077208588957055,0.4567202463559445
25,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.4728403066912384,0.4598685169711751
28,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5260104790419162,0.4669271630455356
