seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,54,none,1.0,1.0,raw,54,20,0.4422398525579185,0.3261935061289022,30,30,30,2
2,beta,54,none,1.0,1.0,raw,54,50,0.4809872087132725,0.317175636163589,30,30,30,2
10,beta,54,none,1.0,1.0,raw,54,10,0.5472816399286988,0.2975186598159047,30,30,30,2
6,beta,54,none,1.0,1.0,raw,54,20,0.5964088397790056,0.3330210685888244,30,30,30,2
8,beta,54,none,1.0,1.0,raw,54,10,0.5981947686954453,0.288648786124732,30,30,30,2
12,beta,54,none,1.0,1.0,raw,54,50,0.5642209856915739,0.2971219491316524,30,30,30,2
4,beta,54,none,1.0,1.0,raw,54,50,0.6238229755178908,0.3079260229492477,30,30,30,2
14,beta,54,none,1.0,1.0,raw,54,20,0.5130610912560576,0.3220208943833737,30,30,30,2
3,beta,54,none,1.0,1.0,raw,54,50,0.5999713894201087,0.3126432090681846,30,30,30,2
1,beta,54,none,1.0,1.0,raw,54,50,0.5680798357987119,0.2982094787368499,30,30,30,2
5,beta,54,none,1.0,1.0,raw,54,20,0.5354500389803333,0.2992707384129042,30,30,30,2
11,beta,54,none,1.0,1.0,raw,54,50,0.6081144603090662,0.2932794322311656,30,30,30,2
16,beta,54,none,1.0,1.0,raw,54,5,0.5588801545764785,0.3119127000027722,30,30,30,2
13,beta,54,none,1.0,1.0,raw,54,5,0.6166469014589482,0.2839770823805597,30,30,30,2
9,beta,54,none,1.0,1.0,raw,54,50,0.5544847972972973,0.289684322755379,30,30,30,2
7,beta,54,none,1.0,1.0,raw,54,50,0.4934515068318222,0.321587571722795,30,30,30,2
18,beta,54,none,1.0,1.0,raw,54,20,0.6218809197204258,0.2846862499197052,30,30,30,2
15,beta,54,none,1.0,1.0,raw,54,50,0.6004605163823041,0.3028939718593365,30,30,30,2
20,beta,54,none,1.0,1.0,raw,54,50,0.5901239898834125,0.3117083057766784,30,30,30,2
17,beta,54,none,1.0,1.0,raw,54,20,0.5190561883234212,0.3157170996986716,30,30,30,2
19,beta,54,none,1.0,1.0,raw,54,50,0.5945549008538564,0.3086856753412582,30,30,30,2
22,beta,54,none,1.0,1.0,raw,54,20,0.5261293447983529,0.3062952976397329,30,30,30,2
21,beta,54,none,1.0,1.0,raw,54,20,0.6133974011211862,0.2978565528326506,30,30,30,2
28,beta,54,none,1.0,1.0,raw,54,20,0.5508907774630154,0.3054499013017328,30,30,30,2
24,beta,54,none,1.0,1.0,raw,54,10,0.5617676948828312,0.3147637627708204,30,30,30,2
26,beta,54,none,1.0,1.0,raw,54,20,0.510401258639701,0.3092072460739052,30,30,30,2
32,beta,54,none,1.0,1.0,raw,54,50,0.4632957481794691,0.3177192665261739,30,30,30,2
30,beta,54,none,1.0,1.0,raw,54,20,0.5481072363462489,0.3080934259204222,30,30,30,2
23,beta,54,none,1.0,1.0,raw,54,50,0.4933787891823682,0.3141692283869117,30,30,30,2
34,beta,54,none,1.0,1.0,raw,54,50,0.5045001112194788,0.3212916365407313,30,30,30,2
36,beta,54,none,1.0,1.0,raw,54,5,0.5400480252206067,0.3030200225899661,30,30,30,2
27,beta,54,none,1.0,1.0,raw,54,50,0.5934121822285578,0.2928273686366202,30,30,30,2
33,beta,54,none,1.0,1.0,raw,54,20,0.5380491725632598,0.3135744221370944,30,30,30,2
29,beta,54,none,1.0,1.0,raw,54,50,0.569089367777629,0.3094685865708221,30,30,30,2
38,beta,54,none,1.0,1.0,raw,54,50,0.6299599371622282,0.3224099269656159,30,30,30,2
25,beta,54,none,1.0,1.0,raw,54,20,0.5084040888356142,0.319111292972394,30,30,30,2
31,beta,54,none,1.0,1.0,raw,54,50,0.5876047536483168,0.3022882188766444,30,30,30,2
37,beta,54,none,1.0,1.0,raw,54,50,0.5843276525404766,0.2901948067556327,30,30,30,2
35,beta,54,none,1.0,1.0,raw,54,20,0.5929130888193659,0.3043183144103829,30,30,30,2
40,beta,54,none,1.0,1.0,raw,54,50,0.504673141186299,0.3115067791446037,30,30,30,2
42,beta,54,none,1.0,1.0,raw,54,50,0.5223396366332962,0.2976904511514674,30,30,30,2
39,beta,54,none,1.0,1.0,raw,54,50,0.5002761782454396,0.3339649105534876,30,30,30,2
44,beta,54,none,1.0,1.0,raw,54,20,0.5468846663720726,0.3170510538833565,30,30,30,2
46,beta,54,none,1.0,1.0,raw,54,50,0.5454368685168982,0.3027758293072148,30,30,30,2
43,beta,54,none,1.0,1.0,raw,54,20,0.4695234675284948,0.3156977361961618,30,30,30,2
48,beta,54,none,1.0,1.0,raw,54,50,0.5230252815742265,0.3129775094545755,30,30,30,2
41,beta,54,none,1.0,1.0,raw,54,5,0.4707893348726574,0.3215182452245469,30,30,30,2
47,beta,54,none,1.0,1.0,raw,54,20,0.5160091263428083,0.2936607960942493,30,30,30,2
45,beta,54,none,1.0,1.0,raw,54,50,0.5576295034142689,0.3002769776095048,30,30,30,2
49,beta,54,none,1.0,1.0,raw,54,50,0.5409246226607227,0.295184959138188,30,30,30,2
