seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_naive,rmse_naive
2,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2890003111674273
3,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.2884210092701125
1,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3091468803268408
6,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.3021189309663936
0,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3095477243359531
4,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2942440504641012
23,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3059087267701461
7,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2840666529747404
28,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.316386551891391
16,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3011368346455981
40,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.2963244830027654
43,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3075401815275118
31,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2896602352978133
19,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2891132207137534
39,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3090664707503474
26,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.301309468545087
15,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.2994935972081805
35,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3007781784098947
46,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3021826608185552
47,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2846286805458983
18,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2864747981917242
27,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2939788064218921
38,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2991548509819099
42,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2919247527062075
22,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.307204511642916
11,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2938006986330579
30,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2848082600768309
14,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2961260860973905
10,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3003868390503252
34,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2937873846979243
5,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2898995291821215
24,beta,54,none,1.0,1.0,raw,none,,54,32.0,10,2,0.5,0.3130891134632867
12,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2968995686453733
20,beta,54,none,1.0,1.0,raw,none,,54,32.0,10,2,0.5,0.2933929297182016
32,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.2850548158808908
36,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2955954104811528
8,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2916378052373604
48,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2830891215304701
33,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.3146560795884216
44,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2856794939081428
41,beta,54,none,1.0,1.0,raw,none,,54,32.0,10,2,0.5,0.2871286035443617
21,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2826980559482262
45,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.3049819941364976
37,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.3002346571465109
49,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.5,0.2980060114414214
17,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.2874906434734225
25,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.3108058065893808
9,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.2903096385112621
13,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.2973574933771315
29,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.5,0.303340354596261
