seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
1,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6346061485514691,0.4388160156241741,13,2,30,2
2,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6429525498766949,0.42529172492037,7,2,30,2
4,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.651545509742231,0.4381481036408439,7,2,30,2
3,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6844748493420244,0.4268905642675466,2,2,30,2
0,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6403010771826898,0.4401882550266804,4,2,30,2
22,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.625197444238082,0.4383402657172185,7,2,30,2
46,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6888720942478553,0.4268142523205204,4,2,30,2
6,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6108304209633113,0.4406694829414844,6,2,30,2
43,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6464091669105749,0.43485545543908,2,2,30,2
30,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6165870189905047,0.4532669930121001,29,2,30,2
39,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6898786946253489,0.4173552922202703,4,2,30,2
11,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6204214121663756,0.4428292520728866,9,2,30,2
14,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.600367888582315,0.4402638226656425,3,2,30,2
34,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6671360847741216,0.4311866444198938,6,2,30,2
18,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6506833652991098,0.4398753024450088,18,2,30,2
42,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6605363952135475,0.4383878384481295,15,2,30,2
35,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6950087651752215,0.4254672091004721,7,2,30,2
26,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6370515418800933,0.4364083498949664,3,2,30,2
12,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6508813052419783,0.4268507168901779,6,2,30,2
15,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6281912426609325,0.4396463605102122,20,2,30,2
10,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,2,0.6515374284979831,0.4279542122885949,7,2,30,2
23,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6743598987851136,0.421827931780742,3,2,30,2
27,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.60966914790725,0.4498500368792638,3,2,30,2
31,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.699711647180474,0.4181607242256769,11,2,30,2
7,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.7001285853382984,0.4204814110603581,4,2,30,2
47,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6596350074012315,0.4260711907631758,19,2,30,2
19,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6507718643227156,0.4304261880592691,17,2,30,2
5,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6852318121364791,0.4160296478057247,12,2,30,2
38,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6523342516609748,0.4287493955702455,16,2,30,2
8,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6596568456531845,0.429642796358431,3,2,30,2
24,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6494125149245632,0.4314291768404746,8,2,30,2
28,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6384826654933112,0.4435431481846258,19,2,30,2
29,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.6711650799701114,0.4278070222658578,5,2,30,2
40,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,2,0.678611578464362,0.4207505145429614,5,2,30,2
