seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,54,none,1.0,pca,54,0.7794776173129256,0.2489982891474015
1,beta,54,none,1.0,pca,54,0.7066211338382051,0.2605114605354044
10,beta,54,none,1.0,pca,54,0.7678698752228165,0.2397082312494908
11,beta,54,none,1.0,pca,54,0.692644985016746,0.2507033438011444
12,beta,54,none,1.0,pca,54,0.6614864864864864,0.2552526574991258
13,beta,54,none,1.0,pca,54,0.7557985603574284,0.2259351166458313
14,beta,54,none,1.0,pca,54,0.7801166751759754,0.2341744677651519
15,beta,54,none,1.0,pca,54,0.7971147943523634,0.2362211789358157
16,beta,54,none,1.0,pca,54,0.7525872794122758,0.2444420593965981
17,beta,54,none,1.0,pca,54,0.7213799685278004,0.2407783072562237
18,beta,54,none,1.0,pca,54,0.72863121114858,0.2368558949060664
19,beta,54,none,1.0,pca,54,0.7555174299625997,0.2372943420666815
2,beta,54,none,1.0,pca,54,0.7920011976142264,0.2226082850542212
20,beta,54,none,1.0,pca,54,0.7668172845598668,0.2457601844868853
21,beta,54,none,1.0,pca,54,0.6329883836480141,0.2461868670059089
22,beta,54,none,1.0,pca,54,0.7973058148267353,0.2441379470678326
23,beta,54,none,1.0,pca,54,0.7300180676245376,0.255785021279321
24,beta,54,none,1.0,pca,54,0.7281384505021522,0.2642630977623674
25,beta,54,none,1.0,pca,54,0.7846502180934306,0.2471029689753253
26,beta,54,none,1.0,pca,54,0.7054567947718043,0.2525450089913264
27,beta,54,none,1.0,pca,54,0.7367248752672844,0.2389225303811054
28,beta,54,none,1.0,pca,54,0.7413471828769278,0.2588570703360242
29,beta,54,none,1.0,pca,54,0.6858110620324513,0.2637167998295024
3,beta,54,none,1.0,pca,54,0.6843650709994127,0.25689974960309
30,beta,54,none,1.0,pca,54,0.7067686153052007,0.2449608490398857
31,beta,54,none,1.0,pca,54,0.76431332177431,0.2262578016985621
32,beta,54,none,1.0,pca,54,0.7096398614530736,0.2494266312672683
33,beta,54,none,1.0,pca,54,0.6708624574799419,0.2794934361374618
34,beta,54,none,1.0,pca,54,0.7376875656267995,0.249286452876198
35,beta,54,none,1.0,pca,54,0.7647526735998587,0.2433735201966488
36,beta,54,none,1.0,pca,54,0.7208423564767755,0.2422538789413006
37,beta,54,none,1.0,pca,54,0.7283180666536737,0.2404922481430587
38,beta,54,none,1.0,pca,54,0.6952819055779796,0.2709648870422213
39,beta,54,none,1.0,pca,54,0.8099617493130067,0.248312837585116
4,beta,54,none,1.0,pca,54,0.7334516194300479,0.241381750746309
40,beta,54,none,1.0,pca,54,0.7340312587023112,0.2500245708073595
41,beta,54,none,1.0,pca,54,0.7325638895482238,0.2382678200110743
42,beta,54,none,1.0,pca,54,0.7932656655543197,0.2224127542295853
43,beta,54,none,1.0,pca,54,0.7705315937171661,0.2482318188702631
44,beta,54,none,1.0,pca,54,0.7320937008437008,0.2284530896426247
45,beta,54,none,1.0,pca,54,0.6982330778225283,0.2613332670928991
46,beta,54,none,1.0,pca,54,0.7175614372408821,0.2481847439984917
47,beta,54,none,1.0,pca,54,0.7496292423234147,0.2334688152363691
48,beta,54,none,1.0,pca,54,0.7223372972573098,0.2425423145736623
49,beta,54,none,1.0,pca,54,0.6939015151515153,0.2412465876130415
5,beta,54,none,1.0,pca,54,0.6852521954017916,0.250368591624621
6,beta,54,none,1.0,pca,54,0.7124440936595633,0.2592605183057703
7,beta,54,none,1.0,pca,54,0.7683485506321033,0.2248784071143092
8,beta,54,none,1.0,pca,54,0.7131295629896189,0.2427449271784829
9,beta,54,none,1.0,pca,54,0.752523554576858,0.2429594841567132
