seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_naive,rmse_naive
3,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4542052283962893
2,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4468902278519726
0,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4739379371893585
5,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4286998495349482
4,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4744970557661131
6,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4666808874086565
7,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4368660796022878
11,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4765220218415085
19,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4433121004822137
27,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4893964468250205
23,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4434846877408219
31,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4422440300652277
10,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4645675191055157
35,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4467903844045429
42,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4629651102263493
1,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4641959220129394
39,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4364120546112659
18,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4483404778983106
26,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4715453246763708
47,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4340143311854776
14,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4551479466129748
15,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.467705357321919
43,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4635658490020264
30,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4795010288145944
22,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4628737402303119
34,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4647383850958895
46,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4580111310305882
38,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.44591787248281
12,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4393743995510464
8,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4524373394169728
16,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4464266375091081
28,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4716212550392969
40,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4469039320749923
32,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4738525981825405
24,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4476374950108434
48,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4808127094745861
20,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4312210460286289
36,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.5031275980153741
13,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4815345047048487
44,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4599928794185331
25,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4548600456073243
21,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,20,2,0.5,0.4522675095843602
29,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4528464250249303
33,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4592257088428895
9,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.454475855646598
49,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4831551604337912
17,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4918227433604243
45,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4334643402810349
37,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.4711319327498429
41,beta,1,64,1.0,1.0,raw,transport_binary_strength,1,64,64.0,50,2,0.5,0.46678244596390556
