seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,pca,,,,,,,,,0.4246063646422133,0.7033188317000455,max,,,,
1,beta,1,max,1.0,pca,,,,,,,,,0.409199971354065,0.7403029972262174,max,,,,
2,beta,1,max,1.0,pca,,,,,,,,,0.4033380093513644,0.716782554696685,max,,,,
3,beta,1,max,1.0,pca,,,,,,,,,0.4258733527283515,0.6976475833230844,max,,,,
4,beta,1,max,1.0,pca,,,,,,,,,0.43360809783566,0.6784066760501187,max,,,,
5,beta,1,max,1.0,pca,,,,,,,,,0.3850922722906135,0.7479430578238714,max,,,,
6,beta,1,max,1.0,pca,,,,,,,,,0.4308832004631069,0.6716327968819663,max,,,,
7,beta,1,max,1.0,pca,,,,,,,,,0.380728302922902,0.7881720928078544,max,,,,
8,beta,1,max,1.0,pca,,,,,,,,,0.4104991387835632,0.7243999278436387,max,,,,
9,beta,1,max,1.0,pca,,,,,,,,,0.4102262164793727,0.7245257172081243,max,,,,
10,beta,1,max,1.0,pca,,,,,,,,,0.4065391905052596,0.7275010390465276,max,,,,
11,beta,1,max,1.0,pca,,,,,,,,,0.4112633251072109,0.7317628183117846,max,,,,
12,beta,1,max,1.0,pca,,,,,,,,,0.3915283629385343,0.7512867980440533,max,,,,
13,beta,1,max,1.0,pca,,,,,,,,,0.4147390560364125,0.7305076759190843,max,,,,
14,beta,1,max,1.0,pca,,,,,,,,,0.4352475151087487,0.654317998385795,max,,,,
15,beta,1,max,1.0,pca,,,,,,,,,0.4222436106939792,0.7114250967123085,max,,,,
16,beta,1,max,1.0,pca,,,,,,,,,0.40403604617043,0.7334545710006737,max,,,,
17,beta,1,max,1.0,pca,,,,,,,,,0.4333103903632844,0.6797626886145404,max,,,,
18,beta,1,max,1.0,pca,,,,,,,,,0.3992701226790496,0.7633198137205994,max,,,,
19,beta,1,max,1.0,pca,,,,,,,,,0.4089827325272393,0.7171490962195526,max,,,,
20,beta,1,max,1.0,pca,,,,,,,,,0.4078122873415337,0.6948823816467158,max,,,,
21,beta,1,max,1.0,pca,,,,,,,,,0.4310996173488394,0.6605183312262958,max,,,,
22,beta,1,max,1.0,pca,,,,,,,,,0.420037293651698,0.6956905878745803,max,,,,
23,beta,1,max,1.0,pca,,,,,,,,,0.4119732166283397,0.7059039341501248,max,,,,
24,beta,1,max,1.0,pca,,,,,,,,,0.4162514246667074,0.705178823401715,max,,,,
25,beta,1,max,1.0,pca,,,,,,,,,0.432105957111531,0.6582494271283232,max,,,,
26,beta,1,max,1.0,pca,,,,,,,,,0.4266205660804475,0.6785845365271538,max,,,,
27,beta,1,max,1.0,pca,,,,,,,,,0.4490010604824634,0.6364219282176915,max,,,,
28,beta,1,max,1.0,pca,,,,,,,,,0.422186877506455,0.7124027079712922,max,,,,
29,beta,1,max,1.0,pca,,,,,,,,,0.4066193808687137,0.7452188854704578,max,,,,
30,beta,1,max,1.0,pca,,,,,,,,,0.441908491556935,0.671340501624188,max,,,,
31,beta,1,max,1.0,pca,,,,,,,,,0.3882291179329763,0.7621155135574149,max,,,,
32,beta,1,max,1.0,pca,,,,,,,,,0.4449914142766208,0.6335106679682052,max,,,,
33,beta,1,max,1.0,pca,,,,,,,,,0.4103362642075593,0.7116525286304243,max,,,,
34,beta,1,max,1.0,pca,,,,,,,,,0.4119231178297644,0.7269180872475084,max,,,,
35,beta,1,max,1.0,pca,,,,,,,,,0.3923990401030727,0.7723175521170998,max,,,,
36,beta,1,max,1.0,pca,,,,,,,,,0.4409940702511124,0.6508725314183125,max,,,,
37,beta,1,max,1.0,pca,,,,,,,,,0.401915535313765,0.7467362637929789,max,,,,
38,beta,1,max,1.0,pca,,,,,,,,,0.41432090109817,0.6936716912975815,max,,,,
39,beta,1,max,1.0,pca,,,,,,,,,0.3917150927427309,0.7443936520432263,max,,,,
40,beta,1,max,1.0,pca,,,,,,,,,0.4006543291279586,0.7376064290812685,max,,,,
41,beta,1,max,1.0,pca,,,,,,,,,0.4138161988328555,0.7293095726080349,max,,,,
42,beta,1,max,1.0,pca,,,,,,,,,0.4115088548507121,0.730589905385445,max,,,,
43,beta,1,max,1.0,pca,,,,,,,,,0.4181224682935126,0.7061791194409962,max,,,,
44,beta,1,max,1.0,pca,,,,,,,,,0.4224714019509307,0.686696725179408,max,,,,
45,beta,1,max,1.0,pca,,,,,,,,,0.4027819423167926,0.7312063060385842,max,,,,
46,beta,1,max,1.0,pca,,,,,,,,,0.4116943221835062,0.728721768248315,max,,,,
47,beta,1,max,1.0,pca,,,,,,,,,0.376007514769454,0.7794054615804648,max,,,,
48,beta,1,max,1.0,pca,,,,,,,,,0.4635458545995686,0.5933384619980879,max,,,,
49,beta,1,max,1.0,pca,,,,,,,,,0.4277724157688151,0.6994763551947345,max,,,,
