metric,araf_mean,knn_mean,n,mean,std,min,max,paired_t_stat,paired_t_p_two_sided,sign_test_p_two_sided
auc,0.8251232771777071,0.8204188387498693,3,0.004704438427837632,0.002088347797348565,0.0023696250318117063,0.0063940341021743174,3.9018052397400527,0.05984920295907248,0.25
rmse,0.3999087338860899,0.4054699372869301,3,-0.005561203400840246,0.0013329017763830295,-0.006556857016362105,-0.00404694530966232,-7.226554133357349,0.018615599900054198,0.25
