seed,lambda_tau,araf_latent_dim,araf_dropout,auc_amortized,rmse_amortized,auc_knn,rmse_knn,selected_knn_k,auc_diff_araf_minus_knn,rmse_diff_araf_minus_knn
0,0.0,128,0.0,0.8274990887731044,0.3986730814083324,0.8211050546709301,0.4052299384246945,10,0.0063940341021743174,-0.006556857016362105
1,0.0,128,0.0,0.8240414876794371,0.4011141682604003,0.8216718626476254,0.4051611135700626,10,0.0023696250318117063,-0.00404694530966232
2,0.0,128,0.0,0.8238292550805798,0.3999389519895369,0.8184795989310529,0.4060187598660332,10,0.005349656149526871,-0.006079807876496313
3,0.0,128,0.0,0.8287733737430368,0.3987887647973122,0.825084581569163,0.4032684366702473,10,0.003688792173873856,-0.0044796718729351315
4,0.0,128,0.0,0.8285338342212382,0.3959234432082664,0.8242431854343322,0.400793273180297,10,0.004290648786905993,-0.004869829972030615
5,0.0,128,0.0,0.8212246635147283,0.4013613958010507,0.8208263329732562,0.404454444734256,10,0.0003983305414720917,-0.0030930489332053335
6,0.0,128,0.0,0.8194091117671889,0.4042205922866675,0.8220706240493626,0.4056448464027571,10,-0.002661512282173706,-0.001424254116089596
7,0.0,128,0.0,0.8261449115526057,0.4009488378157103,0.824956957072571,0.4042426547490174,10,0.0011879544800347253,-0.0032938169333071032
8,0.0,128,0.0,0.8269246757513705,0.3986464868617758,0.8220069691993745,0.4037326985895027,10,0.004917706551995971,-0.005086211727726941
9,0.0,128,0.0,0.8311383671953417,0.3972537651279696,0.8299419674037684,0.3989052551292986,10,0.001196399791573377,-0.0016514900013289702
