data_source,dataset_selector,corpus_slug,embedding_slug,embedding_type,model_type,seed,test_size,train_retention,n_samples,araf_auc,araf_rmse,selected_knn_k_x,lambda_tau_x,epochs_x,araf_latent_dim_x,araf_dropout_x,araf_artifact_path,knn_auc,knn_rmse,selected_knn_k_y,lambda_tau_y,epochs_y,araf_latent_dim_y,araf_dropout_y,knn_artifact_path
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,18,0.1,1.0,1,0.8258890683248302,0.398678818720159,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-10-11-12-13-14-15-16-17-18-19-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.8277783015392479,0.3998948726491806,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-10-11-12-13-14-15-16-17-18-19-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,19,0.1,1.0,1,0.8198029142740115,0.4022461856213099,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-10-11-12-13-14-15-16-17-18-19-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.8162393028053472,0.408036412414068,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-10-11-12-13-14-15-16-17-18-19-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,2,0.1,1.0,1,0.8238292550805798,0.3999389519895369,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-0-1-2-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-12-epochs-1000.csv,0.8184795989310529,0.4060187598660332,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-0-1-2-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,20,0.1,1.0,1,0.8250843122273283,0.4004419061338871,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.8191872646672227,0.406303842351097,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,21,0.1,1.0,1,0.8296344355920744,0.3973713241891924,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.8257069777111845,0.4020030236296553,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,22,0.1,1.0,1,0.8279687378652205,0.3973184653580385,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.821231424757358,0.4039539412301839,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,23,0.1,1.0,1,0.8218879792000475,0.4012326945675937,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.8208494643429616,0.4051077446551085,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,24,0.1,1.0,1,0.8318028128535258,0.396790672714931,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.822559568976204,0.4045509608812605,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,25,0.1,1.0,1,0.8324928598567486,0.3947627455385341,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.8255536613762775,0.4010151342392309,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
hf,all-ready,src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1,rawemb-src-hf_all-ready_mins4_mini50_bounded01_mdb-raw-matrix-v1_model-qwen3-8b_maxchars20000_mdb-raw-embedding-v1,raw,bernoulli,26,0.1,1.0,1,0.8196964947948658,0.4036418935111772,,0.0,1000.0,128.0,0.0,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/araf/araf_raw_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-araf-k-128-dropout-0-0-tau-sweep-1-epochs-1000.csv,0.818388601876181,0.4070280217721801,10.0,,,,,/Data/home/v-qizhengli/workspace/reeval-multi/model/result/measurement_db_raw/baselines/baseline_metrics_corpus-src-hf-all-ready-mins4-mini50-bounded01-mdb-raw-matrix-v1-emb-raw-qwen3-embedding-8b-mc20000-model-bernoulli-seed-20-21-22-23-24-25-26-27-28-29-test-0-1-ret-1-0-n-1-k-5-10-20-50.csv
