metric,araf_mean,knn_mean,n,mean,std,min,max,paired_t_stat,paired_t_p_two_sided,sign_test_p_two_sided
auc,0.8177404778627403,0.8204188387498693,3,-0.0026783608871291755,0.001772274069614331,-0.00448489570319599,-0.0009424594979364764,-2.617573216834629,0.12019636594383291,0.25
rmse,0.40412806168219695,0.4054699372869301,3,-0.0013418756047331633,0.0011985115855682566,-0.0023178850861443334,-4.1743653364512134e-06,-1.9392359263119407,0.1920296346193487,0.25
