seed,lambda_tau,araf_latent_dim,araf_dropout,auc_amortized,auc_knn,rmse_amortized,rmse_knn,selected_knn_k,auc_diff_araf_minus_knn,rmse_diff_araf_minus_knn
0,0.002,64,0.0,0.8201625951729936,0.8211050546709301,0.4029120533385502,0.4052299384246945,10,-0.0009424594979364764,-0.0023178850861443334
1,0.002,64,0.0,0.8171869669444294,0.8216718626476254,0.4051569392047262,0.4051611135700626,10,-0.00448489570319599,-4.1743653364512134e-06
2,0.002,64,0.0,0.8158718714707979,0.8184795989310529,0.4043151925033145,0.4060187598660332,10,-0.0026077274602550604,-0.0017035673627187053
