metric,araf_mean,knn_mean,n,mean,std,median,min,max,positive,negative,paired_t_stat,paired_t_p_two_sided,wilcoxon_p_two_sided,sign_test_p_two_sided
auc,0.8257518769278631,0.8230387133951436,10,0.00271316353271952,0.0027445029474900485,0.003029208602842781,-0.002661512282173706,0.0063940341021743174,9,1,3.126167685754897,0.012196781639693522,0.01953125,0.021484375
rmse,0.39968694875570215,0.40374514213161666,10,-0.004058193375914443,0.001714941651560539,-0.004263308591298726,-0.006556857016362105,-0.001424254116089596,0,10,-7.48313170982804,3.7587347609950926e-05,0.001953125,0.001953125
