comparison,n,araf_auc_mean,knn_auc_mean,auc_diff_mean,auc_wins,auc_paired_t,auc_paired_t_p,auc_wilcoxon_stat,auc_wilcoxon_p,auc_sign_p,araf_rmse_mean,knn_rmse_mean,rmse_diff_mean,rmse_wins,rmse_paired_t,rmse_paired_t_p,rmse_wilcoxon_stat,rmse_wilcoxon_p,rmse_sign_p
all_seeds_0_29,30,0.825087806248602,0.8223038656677617,0.0027839405808401533,26,4.554037688303348,8.744262333024589e-05,57.0,0.00012333691120147705,2.9738061130046848e-05,0.3999418755258381,0.40425785892593574,-0.004315983400097567,30,-12.704344123897508,2.238637214776882e-13,0.0,1.862645149230957e-09,9.313225746154785e-10
out_of_selection_seeds_3_29,27,0.8250838650342571,0.8225133131030832,0.002570551931173767,23,3.9055591254970756,0.0005977895492732764,54.0,0.000667765736579895,0.0001553744077682495,0.3999455579302546,0.4041231835524918,-0.0041776256222372694,27,-11.559602253593747,9.556017230136271e-12,0.0,1.4901161193847656e-08,7.450580596923828e-09
new_confirmation_seeds_20_29,10,0.8259837910061106,0.8214769631026202,0.004506827903490329,10,4.997722786482735,0.0007412685566330627,0.0,0.001953125,0.0009765625,0.39951911959466013,0.4047609416065751,-0.005241822011915026,10,-11.109350222145164,1.4810081217607546e-06,0.0,0.001953125,0.0009765625
