seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,pca,,,,,,,,,0.4117042937084266,0.7224880284510408,max,,,,
1,beta,1,max,1.0,pca,,,,,,,,,0.4065097565271889,0.7385164115471543,max,,,,
2,beta,1,max,1.0,pca,,,,,,,,,0.4005516844807243,0.7173589132835353,max,,,,
3,beta,1,max,1.0,pca,,,,,,,,,0.4132667127911734,0.7116108104784159,max,,,,
4,beta,1,max,1.0,pca,,,,,,,,,0.4257722906167465,0.6858454766241651,max,,,,
5,beta,1,max,1.0,pca,,,,,,,,,0.3784464376262013,0.7534850150447061,max,,,,
6,beta,1,max,1.0,pca,,,,,,,,,0.4215676459640974,0.6862475011146107,max,,,,
7,beta,1,max,1.0,pca,,,,,,,,,0.3810227459415551,0.780902933220814,max,,,,
8,beta,1,max,1.0,pca,,,,,,,,,0.4051413079392515,0.7307750513327136,max,,,,
9,beta,1,max,1.0,pca,,,,,,,,,0.4007843500801936,0.7357240270809994,max,,,,
10,beta,1,max,1.0,pca,,,,,,,,,0.4053402397527845,0.7224796815352423,max,,,,
11,beta,1,max,1.0,pca,,,,,,,,,0.4022516682260083,0.7496554245232303,max,,,,
12,beta,1,max,1.0,pca,,,,,,,,,0.387012601240655,0.7609518986302213,max,,,,
13,beta,1,max,1.0,pca,,,,,,,,,0.4055048270520302,0.742948538125351,max,,,,
14,beta,1,max,1.0,pca,,,,,,,,,0.4314068122149945,0.6547260543949547,max,,,,
15,beta,1,max,1.0,pca,,,,,,,,,0.4173525965762367,0.71200451411947,max,,,,
16,beta,1,max,1.0,pca,,,,,,,,,0.3978490598110161,0.7406882765623852,max,,,,
17,beta,1,max,1.0,pca,,,,,,,,,0.4268969346159563,0.6854183813443072,max,,,,
18,beta,1,max,1.0,pca,,,,,,,,,0.3996830712879097,0.7558165835763042,max,,,,
19,beta,1,max,1.0,pca,,,,,,,,,0.4052200098324823,0.7164151190344981,max,,,,
20,beta,1,max,1.0,pca,,,,,,,,,0.3980787943881452,0.7093946961501375,max,,,,
21,beta,1,max,1.0,pca,,,,,,,,,0.4177377365430791,0.6842347942126703,max,,,,
22,beta,1,max,1.0,pca,,,,,,,,,0.4165418100048044,0.6986710178994964,max,,,,
23,beta,1,max,1.0,pca,,,,,,,,,0.3997257574053369,0.7208885131270999,max,,,,
24,beta,1,max,1.0,pca,,,,,,,,,0.4169662074409139,0.6900480299576686,max,,,,
25,beta,1,max,1.0,pca,,,,,,,,,0.4234381080989061,0.6740198945436222,max,,,,
26,beta,1,max,1.0,pca,,,,,,,,,0.4196212224543142,0.6879401214600656,max,,,,
27,beta,1,max,1.0,pca,,,,,,,,,0.4407175649986627,0.6445421944845513,max,,,,
28,beta,1,max,1.0,pca,,,,,,,,,0.4142644857384404,0.7244264562892546,max,,,,
29,beta,1,max,1.0,pca,,,,,,,,,0.404293926430975,0.7410565674716618,max,,,,
30,beta,1,max,1.0,pca,,,,,,,,,0.429715381064548,0.6976585925787107,max,,,,
31,beta,1,max,1.0,pca,,,,,,,,,0.3823408218228012,0.7646146445451566,max,,,,
32,beta,1,max,1.0,pca,,,,,,,,,0.4296147545011016,0.6622385301910473,max,,,,
33,beta,1,max,1.0,pca,,,,,,,,,0.4034016598738723,0.7231128882936797,max,,,,
34,beta,1,max,1.0,pca,,,,,,,,,0.4035720224472576,0.730000121244453,max,,,,
35,beta,1,max,1.0,pca,,,,,,,,,0.3868689967661851,0.7781114616661088,max,,,,
36,beta,1,max,1.0,pca,,,,,,,,,0.4311583055233078,0.6615612208258529,max,,,,
37,beta,1,max,1.0,pca,,,,,,,,,0.4035584344893947,0.7372318175249539,max,,,,
38,beta,1,max,1.0,pca,,,,,,,,,0.4049929647953147,0.7098788489075954,max,,,,
39,beta,1,max,1.0,pca,,,,,,,,,0.3864264876961968,0.7475041150790811,max,,,,
40,beta,1,max,1.0,pca,,,,,,,,,0.3930028828534588,0.7445976088508208,max,,,,
41,beta,1,max,1.0,pca,,,,,,,,,0.4062873199633844,0.7336725699925477,max,,,,
42,beta,1,max,1.0,pca,,,,,,,,,0.4119658559231517,0.7226176018479987,max,,,,
43,beta,1,max,1.0,pca,,,,,,,,,0.4127342945902463,0.7115609114428262,max,,,,
44,beta,1,max,1.0,pca,,,,,,,,,0.4174080055213037,0.6848145440778757,max,,,,
45,beta,1,max,1.0,pca,,,,,,,,,0.3932612534457027,0.7426242942177637,max,,,,
46,beta,1,max,1.0,pca,,,,,,,,,0.4030854693703123,0.7419786640242033,max,,,,
47,beta,1,max,1.0,pca,,,,,,,,,0.374306195898851,0.7813674892504369,max,,,,
48,beta,1,max,1.0,pca,,,,,,,,,0.4483748927258505,0.6174870040630975,max,,,,
49,beta,1,max,1.0,pca,,,,,,,,,0.4208962955995656,0.7107465895488674,max,,,,
